target,type,split_half_r,spearman_brown_r,n_samples
IRI_Perspective_taking,subscale,0.0847569480538368,0.1562690138816833,200
IRI_Fantasy,subscale,-0.289348691701889,0.01,200
IRI_Empathic_concern,subscale,0.2051992714405059,0.3405233919620514,200
IRI_Personal_distress,subscale,-0.0517313368618488,0.01,200
PANAS_Positive_Affect,subscale,-0.0318966507911682,0.01,200
PANAS_Negative_Affect,subscale,-0.0613333582878112,0.01,200
POM_Peace_of_Mind,subscale,0.0141804907470941,0.0279644299298524,200
BigFive_Extraversion,subscale,-0.1280221343040466,0.01,200
BigFive_Agreeableness,subscale,-0.0252549163997173,0.01,200
BigFive_Conscientiousness,subscale,-0.3250613212585449,0.01,200
BigFive_Neuroticism,subscale,-0.1110484600067138,0.01,200
BigFive_Openness,subscale,-0.1115731596946716,0.01,200
SelfConst_Independent_self,subscale,-0.0942127555608749,0.01,200
SelfConst_Interdependent_self,subscale,0.0147234592586755,0.0290196500718593,200
LifeSat_Life_Satisfaction,subscale,-0.0841658413410186,0.01,200
Lonely_Loneliness,subscale,0.2190399020910263,0.3593645989894867,200
IRI,scale,0.5336475968360901,0.6959194540977478,200
PANAS,scale,0.0408711209893226,0.0785325244069099,200
POM,scale,-0.1223423182964325,0.01,200
BigFive,scale,-0.1917761415243148,0.01,200
SelfConst,scale,0.0394600182771682,0.0759240686893463,200
LifeSat,scale,-0.1517921537160873,0.01,200
Lonely,scale,-0.0106117278337478,0.01,200
