model,slope_stable,slope_specific,slope_diff,mantel_stable,mantel_specific,mantel_diff
qwen05b_instruct,1.2732393370926656,1.7043037773971215,-0.4310644403044559,0.6129299402267563,0.9910814597650217,-0.3781515195382654
llama1b_instruct,1.3387890443363015,1.6227945242773414,-0.28400547994103986,0.7274484658154443,0.9859183378052766,-0.2584698719898323
qwen3b_instruct,1.3159769836606179,1.7704710287530963,-0.45449404509247837,0.702134498418922,0.9602657758648441,-0.2581312774459221
llama3b_instruct,1.5741943351601475,2.0677131426486044,-0.4935188074884569,0.7688311652069486,0.9851320095101751,-0.2163008443032265
qwen7b_instruct,1.5592199348939275,1.8476919853963925,-0.28847205050246494,0.7089485431459868,0.9734335577580323,-0.26448501461204554
llama8b_instruct,1.6125339733996422,2.0391066828323856,-0.4265727094327434,0.7517901366279653,0.9652255791933926,-0.21343544256542724
llama8b_base,1.5763602878499712,1.8015111390628653,-0.22515085121289413,0.7387351609488236,0.9543535586060797,-0.2156183976572561
qwen14b_instruct,1.7759284245484621,2.330058677388922,-0.5541302528404599,0.7779522918830981,0.9579135285758462,-0.1799612366927481
qwen14b_base,1.6902285534069774,2.285824495133516,-0.5955959417265384,0.7552438767085908,0.9810259134738325,-0.22578203676524167
