target,type,split_half_r,spearman_brown_r,n_samples
IRI_Perspective_taking,subscale,0.3228123486042022,0.4880697727203369,200
IRI_Fantasy,subscale,0.0356504134833812,0.0688464269042015,200
IRI_Empathic_concern,subscale,0.1029818132519722,0.1867334693670272,200
IRI_Personal_distress,subscale,0.3778685927391052,0.5484827756881714,200
PANAS_Positive_Affect,subscale,-0.0042087957262992,0.01,200
PANAS_Negative_Affect,subscale,-0.2991766333580017,0.01,200
POM_Peace_of_Mind,subscale,0.2570466697216034,0.4089691638946533,200
BigFive_Extraversion,subscale,0.1168388277292251,0.2092313170433044,200
BigFive_Agreeableness,subscale,-0.3899008333683014,0.01,200
BigFive_Conscientiousness,subscale,0.1388421952724456,0.2438304275274276,200
BigFive_Neuroticism,subscale,0.1439212560653686,0.2516279220581054,200
BigFive_Openness,subscale,0.3911320865154266,0.5623219609260559,200
SelfConst_Independent_self,subscale,0.2179808616638183,0.3579380810260772,200
SelfConst_Interdependent_self,subscale,0.3258569240570068,0.4915416240692138,200
LifeSat_Life_Satisfaction,subscale,-0.2338829636573791,0.01,200
Lonely_Loneliness,subscale,0.1531870365142822,0.2656759619712829,200
IRI,scale,0.111927606165409,0.2013217508792877,200
PANAS,scale,-0.3433359861373901,0.01,200
POM,scale,0.137020394206047,0.241016611456871,200
BigFive,scale,-0.1578718274831771,0.01,200
SelfConst,scale,-0.0408140420913696,0.01,200
LifeSat,scale,0.0236114747822284,0.046133667230606,200
Lonely,scale,-0.6382532119750977,0.01,200
