level,matrix_r,pearson_p,mantel_p,rmse,n_pairs,r,slope
item,0.680992427328023,0.0,0.0001999600079984003,0.2374768960280041,5485,,
item_within,,,,0.13292387010515538,1110,0.8822550405526891,0.9898716604648435
item_between,,,,0.2573339226302891,4375,0.6486746489459496,1.3487727542983792
subscale,0.7455717826317569,8.031076165739556e-22,0.0001999600079984003,0.33752816007442027,116,,
subscale_within,,,,0.13605067600264148,18,0.8455016007541724,0.9969155745819389
subscale_between,,,,0.3625610978754514,98,0.7526335774928693,1.4014495317610203
scale,0.8527161861215189,9.125005537794404e-07,0.0013997200559888023,0.27821120013324324,21,,
