label,IRI_Perspective_taking,IRI_Fantasy,IRI_Empathic_concern,IRI_Personal_distress,PANAS_Positive_Affect,PANAS_Negative_Affect,POM_Peace_of_Mind,BigFive_Extraversion,BigFive_Agreeableness,BigFive_Conscientiousness,BigFive_Neuroticism,BigFive_Openness,SelfConst_Independent_self,SelfConst_Interdependent_self,LifeSat_Life_Satisfaction,Lonely_Loneliness
IRI_Perspective_taking,0.9999998807907104,0.951453447341919,0.9394875168800354,0.9100066423416138,0.7670115828514099,0.7514010071754456,0.8859517574310303,0.6792429089546204,0.7413749694824219,0.734249472618103,0.7308430671691895,0.7985784411430359,0.955897867679596,0.9493083357810974,0.9085049033164978,0.8776035308837891
IRI_Fantasy,0.951453447341919,1.0,0.93571138381958,0.9023056030273438,0.7748439311981201,0.7569200396537781,0.8917235136032104,0.6795370578765869,0.7495262622833252,0.7413856387138367,0.7275909781455994,0.792709469795227,0.9524407982826232,0.9442914128303528,0.9091377854347228,0.8852435946464539
IRI_Empathic_concern,0.9394875168800354,0.93571138381958,1.0,0.9174664616584778,0.7670725584030151,0.760610044002533,0.8867900371551514,0.6669477820396423,0.7284719347953796,0.7260202765464783,0.7319307923316956,0.7815485596656799,0.941339373588562,0.9381200075149536,0.8997620940208435,0.8808205723762512
IRI_Personal_distress,0.9100066423416138,0.9023056030273438,0.9174664616584778,1.0000001192092896,0.749894380569458,0.7588650584220886,0.8596276044845581,0.6726462841033936,0.717542827129364,0.6911989450454712,0.7701137065887451,0.777012288570404,0.9043779969215392,0.9059751629829408,0.877083420753479,0.8394730687141418
PANAS_Positive_Affect,0.7670115828514099,0.7748439311981201,0.7670725584030151,0.749894380569458,1.0000001192092896,0.86737459897995,0.7897036671638489,0.7829548716545105,0.7782179117202759,0.7898880243301392,0.7549996376037598,0.7671120762825012,0.790769636631012,0.8136472702026367,0.7575043439865112,0.7352091670036316
PANAS_Negative_Affect,0.7514010071754456,0.7569200396537781,0.760610044002533,0.7588650584220886,0.86737459897995,1.0,0.8124591112136841,0.765184223651886,0.7754124402999878,0.7911425828933716,0.7966112494468689,0.7534576654434204,0.7811670303344727,0.7968962788581848,0.7384352087974548,0.7292733192443848
POM_Peace_of_Mind,0.8859517574310303,0.8917235136032104,0.8867900371551514,0.8596276044845581,0.7897036671638489,0.8124591112136841,1.0,0.7388407588005066,0.7685649991035461,0.7947402596473694,0.7878745198249817,0.7723744511604309,0.918664813041687,0.9050689339637756,0.8743888735771179,0.8477134108543396
BigFive_Extraversion,0.6792429089546204,0.6795370578765869,0.6669477820396423,0.6726462841033936,0.7829548716545105,0.765184223651886,0.7388407588005066,1.0,0.7982643842697144,0.7854176163673401,0.7544896602630615,0.6780820488929749,0.705722451210022,0.7017353177070618,0.6711363196372986,0.6406450867652893
BigFive_Agreeableness,0.7413749694824219,0.7495262622833252,0.7284719347953796,0.717542827129364,0.7782179117202759,0.7754124402999878,0.7685649991035461,0.7982643842697144,1.0,0.791623592376709,0.720268964767456,0.7104412913322449,0.7746794819831848,0.7662061452865601,0.7267531156539917,0.7020745277404785
BigFive_Conscientiousness,0.734249472618103,0.7413856387138367,0.7260202765464783,0.6911989450454712,0.7898880243301392,0.7911425828933716,0.7947402596473694,0.7854176163673401,0.791623592376709,1.0,0.7206709980964661,0.733679473400116,0.7712034583091736,0.766476035118103,0.7280555963516235,0.7185041904449463
BigFive_Neuroticism,0.7308430671691895,0.7275909781455994,0.7319307923316956,0.7701137065887451,0.7549996376037598,0.7966112494468689,0.7878745198249817,0.7544896602630615,0.720268964767456,0.7206709980964661,1.0000001192092896,0.7171565294265747,0.7510200142860413,0.7560367584228516,0.7092313766479492,0.7074419856071472
BigFive_Openness,0.7985784411430359,0.792709469795227,0.7815485596656799,0.777012288570404,0.7671120762825012,0.7534576654434204,0.7723744511604309,0.6780820488929749,0.7104412913322449,0.733679473400116,0.7171565294265747,1.0,0.8159149289131165,0.8268121480941772,0.772337794303894,0.7589687705039978
SelfConst_Independent_self,0.955897867679596,0.9524407982826232,0.941339373588562,0.9043779969215392,0.790769636631012,0.7811670303344727,0.918664813041687,0.705722451210022,0.7746794819831848,0.7712034583091736,0.7510200142860413,0.8159149289131165,1.0000001192092896,0.96405029296875,0.9171886444091796,0.8892630338668823
SelfConst_Interdependent_self,0.9493083357810974,0.9442914128303528,0.9381200075149536,0.9059751629829408,0.8136472702026367,0.7968962788581848,0.9050689339637756,0.7017353177070618,0.7662061452865601,0.766476035118103,0.7560367584228516,0.8268121480941772,0.96405029296875,0.9999999403953552,0.9120837450027466,0.8853315711021423
LifeSat_Life_Satisfaction,0.9085049033164978,0.9091377854347228,0.8997620940208435,0.877083420753479,0.7575043439865112,0.7384352087974548,0.8743888735771179,0.6711363196372986,0.7267531156539917,0.7280555963516235,0.7092313766479492,0.772337794303894,0.9171886444091796,0.9120837450027466,1.0,0.8292568922042847
Lonely_Loneliness,0.8776035308837891,0.8852435946464539,0.8808205723762512,0.8394730687141418,0.7352091670036316,0.7292733192443848,0.8477134108543396,0.6406450867652893,0.7020745277404785,0.7185041904449463,0.7074419856071472,0.7589687705039978,0.8892630338668823,0.8853315711021423,0.8292568922042847,1.0
