family,size,model_base,model_instruct,mantel_base,mantel_instruct,slope_base,slope_instruct,reliability_base,reliability_instruct,beh_slope_base,beh_slope_instruct,delta_mantel,delta_slope,delta_reliability,delta_beh_slope
qwen,0.5,qwen05b_base,qwen05b_instruct,0.0356635841961657,0.1002220410789455,-0.1585985604869935,0.4438144336538965,0.1058914022240787,0.1354898805823177,0.2893923936365041,0.5237408084453102,0.06455845688277981,0.60241299414089,0.029598478358239005,0.23434841480880614
llama,1.0,llama1b_base,llama1b_instruct,0.0663686292637612,-0.0057370184994762,0.4759085595253433,0.1137745027992988,0.2172664004564285,0.1762121245078742,0.2150272358466703,0.5265469331839582,-0.07210564776323741,-0.3621340567260445,-0.04105427594855429,0.3115196973372879
llama,3.0,llama3b_base,llama3b_instruct,-0.150850037003579,-0.0525024820393697,-0.6457797540712942,-0.0874716499317661,0.257704306449741,0.21237677693367,0.5284554064648173,0.8463926276860161,0.0983475549642093,0.5583081041395281,-0.045327529516071025,0.31793722122119883
qwen,3.0,qwen3b_base,qwen3b_instruct,0.0517148262610377,0.0321514472828273,0.2828437544552781,0.0550553346811283,0.0627855528518557,0.0639463178021833,0.7618097118253687,0.6391429499018904,-0.019563378978210394,-0.2277884197741498,0.001160764950327589,-0.12266676192347836
qwen,7.0,qwen7b_base,qwen7b_instruct,0.0074969335304551,0.4200886908030926,0.1996985107396117,1.2215396360218975,0.1167322473879903,0.2551777927111834,1.213898831199441,1.410602668747495,0.41259175727263747,1.0218411252822859,0.1384455453231931,0.1967038375480541
llama,8.0,llama8b_base,llama8b_instruct,-0.0606525733479076,0.3683505638887989,-0.4297217291057337,1.028337917625722,0.1212935537286102,0.1991106670722365,0.9982203123534076,1.354916463196288,0.42900313723670647,1.4580596467314555,0.07781711334362632,0.3566961508428804
qwen,14.0,qwen14b_base,qwen14b_instruct,0.1341631560578215,0.6598967881659276,0.5913338222460486,1.5826005638693286,0.2337658031284809,0.580378342680633,1.2777261039495602,1.532788837728074,0.5257336321081061,0.99126674162328,0.34661253955215215,0.25506273377851385
