hidden_dim,snr,sigma,seed,recovered_slope,recovered_mantel_r,recovered_slope_vs_human,recovered_mantel_r_vs_human,n_pairs
896,0.1,3.162277660168379,0,1.3763332529791465,0.989874798939864,1.3122597290562852,0.974916890307386,120
896,0.1,3.162277660168379,1,1.3774901846292116,0.9899914479721549,1.40549183761133,0.9709370478133557,120
896,0.1,3.162277660168379,2,1.4166289467436886,0.9875621122940903,1.465387301667949,0.9756466773964504,120
896,0.1,3.162277660168379,3,1.337990149598536,0.9917506276625773,1.367692044881288,0.9760188985430428,120
896,0.1,3.162277660168379,4,1.367379949184954,0.9893355423815944,1.3779396971599425,0.9686381980185151,120
896,0.1,3.162277660168379,5,1.3796954177123426,0.9913874940000658,1.4303872995906395,0.9796257372160321,120
896,0.1,3.162277660168379,6,1.3967226635623295,0.9898489386533489,1.4339933562558824,0.975193132093589,120
896,0.1,3.162277660168379,7,1.3785502384508612,0.9895846798653082,1.4831249289270558,0.9720052587135634,120
896,0.1,3.162277660168379,8,1.3996451718193048,0.9888865821093328,1.4490478661357937,0.9732089932290734,120
896,0.1,3.162277660168379,9,1.3981989249940632,0.9878659284563243,1.3268379901758336,0.968892084286981,120
896,0.1,3.162277660168379,10,1.3918213133429544,0.9899257492461453,1.5426473983490363,0.9550774531003494,120
896,0.1,3.162277660168379,11,1.410740984846961,0.9893594001105744,1.4150550819903693,0.9630101937654677,120
896,0.1,3.162277660168379,12,1.402278383215118,0.9866242487807458,1.3206692767518726,0.9668690579672183,120
896,0.1,3.162277660168379,13,1.3887509449511621,0.9903515424683567,1.400592279399682,0.9728552892867438,120
896,0.1,3.162277660168379,14,1.4007232333764223,0.9871943286770883,1.3439642173846518,0.9711072543432742,120
896,0.1,3.162277660168379,15,1.400984913122587,0.9894952570855302,1.4432448571746541,0.9575987186676465,120
896,0.1,3.162277660168379,16,1.3721296416366633,0.9878908810715049,1.4086809196388828,0.9799933851575077,120
896,0.1,3.162277660168379,17,1.3758486233206528,0.9891123076529925,1.3925275499861791,0.9699500381123585,120
896,0.1,3.162277660168379,18,1.365257296925774,0.9902900165053848,1.2486869467791089,0.9649596581915831,120
896,0.1,3.162277660168379,19,1.4179763778120513,0.986681103288105,1.4101005263912183,0.9691727200829675,120
896,0.3,1.8257418583505538,0,1.2991694912433724,0.9942141632310517,1.2572747276244334,0.9757786873330819,120
896,0.3,1.8257418583505538,1,1.2906761399862536,0.9962440933954568,1.3145847058926818,0.9781947357876404,120
896,0.3,1.8257418583505538,2,1.3015172043706023,0.9960929368564169,1.3017807312118514,0.977437184933315,120
896,0.3,1.8257418583505538,3,1.3603814049693845,0.9948203940547716,1.3343047586049055,0.9695367296516366,120
896,0.3,1.8257418583505538,4,1.3131565570547972,0.9933993835330105,1.314568913107692,0.9745266987750503,120
896,0.3,1.8257418583505538,5,1.3057190780282069,0.996417438992676,1.3184864606352582,0.9703773962855256,120
896,0.3,1.8257418583505538,6,1.2948282630737185,0.9955859749528645,1.3522882599637944,0.9767225385413761,120
896,0.3,1.8257418583505538,7,1.3328068818064154,0.9935668606996858,1.2654502839485542,0.9667709559192658,120
896,0.3,1.8257418583505538,8,1.3453152606300371,0.9948298988200985,1.371174300373056,0.9697418215814576,120
896,0.3,1.8257418583505538,9,1.3078438481455013,0.9951851256059867,1.2930056541562844,0.9663463840182974,120
896,0.3,1.8257418583505538,10,1.3315867533439139,0.9923779986147123,1.3664766732022748,0.9812194504354794,120
896,0.3,1.8257418583505538,11,1.2980037164478255,0.9961201186045281,1.239538441090633,0.9795111775926311,120
896,0.3,1.8257418583505538,12,1.2911642803169392,0.9939183520419266,1.320960168081147,0.9784326830157017,120
896,0.3,1.8257418583505538,13,1.3173670516360263,0.9949299397055611,1.2787284000601744,0.9643684966955058,120
896,0.3,1.8257418583505538,14,1.3221940373290502,0.9950500915609004,1.3291191269980862,0.9717434317221572,120
896,0.3,1.8257418583505538,15,1.3256493753838565,0.9946242224109574,1.2981257536521358,0.9697960477998139,120
896,0.3,1.8257418583505538,16,1.3315527406719738,0.9940385572244342,1.3052921235256671,0.9739211336445163,120
896,0.3,1.8257418583505538,17,1.3071261402058705,0.9944586123454007,1.2696878423345337,0.9690642825889285,120
896,0.3,1.8257418583505538,18,1.3145788737596011,0.9955857201236287,1.337272674824899,0.9702871206135184,120
896,0.3,1.8257418583505538,19,1.3291523105750205,0.9951891389879604,1.3246578587014777,0.9635317607300654,120
896,1.0,1.0,0,1.2267499137561122,0.9971019649392691,1.231196002644186,0.9791178395914201,120
896,1.0,1.0,1,1.1972896507237232,0.9975818821945853,1.2576980075155593,0.9781442376793191,120
896,1.0,1.0,2,1.2246115225668703,0.9965624745815566,1.2490610543324048,0.9837847637037762,120
896,1.0,1.0,3,1.2009637315639639,0.9962938288875196,1.21675885672821,0.9746888075630756,120
896,1.0,1.0,4,1.2173516422600243,0.9974653614290124,1.267175369659694,0.9804550803143974,120
896,1.0,1.0,5,1.21212221857993,0.9967496522412629,1.263828813554069,0.9869130750194639,120
896,1.0,1.0,6,1.2272262007443226,0.9955935228318374,1.163559171057295,0.9785650813661505,120
896,1.0,1.0,7,1.2249549927089218,0.997244248796372,1.1931984684338546,0.9787216318368905,120
896,1.0,1.0,8,1.2135626484546311,0.9965316102218634,1.194525917537752,0.9802953271798286,120
896,1.0,1.0,9,1.2099160326731888,0.9975054874157955,1.27096747545604,0.973066233858017,120
896,1.0,1.0,10,1.2295697712744427,0.9968932508632135,1.1496650275132605,0.9755652156282728,120
896,1.0,1.0,11,1.203429025424923,0.9969997109684579,1.267425731536879,0.9784052634630441,120
896,1.0,1.0,12,1.2086976716673359,0.9968822858258887,1.1360094235929408,0.9811440090320214,120
896,1.0,1.0,13,1.2203207916298535,0.996588432844798,1.241090701909873,0.9758247173411598,120
896,1.0,1.0,14,1.2204871583463728,0.9965034257710828,1.171032533949334,0.9747422971228037,120
896,1.0,1.0,15,1.2156976249853588,0.9961072242891966,1.1691908089795018,0.9733052459990165,120
896,1.0,1.0,16,1.2304537392783201,0.9975875198669935,1.2719189134962177,0.9793919118434442,120
896,1.0,1.0,17,1.1994790403338005,0.9969423135136488,1.236788782788512,0.9811086793192488,120
896,1.0,1.0,18,1.214306546989495,0.996892921157996,1.162349411476779,0.980384071775092,120
896,1.0,1.0,19,1.2179491096129462,0.9972143832325575,1.221502875318121,0.9676453757713361,120
896,3.0,0.5773502691896258,0,1.1571835194002895,0.9971450092205132,1.167724731137236,0.9797373000250219,120
896,3.0,0.5773502691896258,1,1.1565335950853777,0.9978355786513481,1.1980169006512864,0.9740998155053812,120
896,3.0,0.5773502691896258,2,1.1636657397731003,0.9975810530613184,1.1453811734397903,0.9682544840237386,120
896,3.0,0.5773502691896258,3,1.1623747606096815,0.9976232429366099,1.168512723107115,0.9706129952846374,120
896,3.0,0.5773502691896258,4,1.1527886615080156,0.9971653607490114,1.2022928911373207,0.97883958100089,120
896,3.0,0.5773502691896258,5,1.1611405198372091,0.997566524235798,1.1548383604054673,0.9772198024778467,120
896,3.0,0.5773502691896258,6,1.1489824702074218,0.9965131221345294,1.0503160751507885,0.977447778618029,120
896,3.0,0.5773502691896258,7,1.1670191994291197,0.9980873592618764,1.1569265490988425,0.9758425204123463,120
896,3.0,0.5773502691896258,8,1.1508570311512236,0.9977160661866351,1.085588299540842,0.9742023202512099,120
896,3.0,0.5773502691896258,9,1.1544500559020647,0.9977436367175955,1.2366943129503967,0.9682218347026503,120
896,3.0,0.5773502691896258,10,1.1714097763007494,0.9961778090865329,1.1377487786939449,0.9747974353783201,120
896,3.0,0.5773502691896258,11,1.1691846891759934,0.9972034746350094,1.1096373690077517,0.9805333473664748,120
896,3.0,0.5773502691896258,12,1.1688100761119262,0.9978315179908818,1.2223693431355283,0.9747844377180507,120
896,3.0,0.5773502691896258,13,1.1608202028713093,0.9971454934158015,1.1301685038954499,0.9778805784502479,120
896,3.0,0.5773502691896258,14,1.1732593410149255,0.9977507852255191,1.2574879315803287,0.9729929430167448,120
896,3.0,0.5773502691896258,15,1.1645836708280801,0.997188395044921,1.1342773113711524,0.9756488855981803,120
896,3.0,0.5773502691896258,16,1.1454254821132865,0.9969857668104168,1.1514718417263148,0.9688223265002754,120
896,3.0,0.5773502691896258,17,1.1571215133504384,0.9961788834347457,1.1152344882790985,0.9810442271148355,120
896,3.0,0.5773502691896258,18,1.1608597026893486,0.9972990473470723,1.1743912306523892,0.981305204186137,120
896,3.0,0.5773502691896258,19,1.1589716553804672,0.9971388862368807,1.1530583702461488,0.9841705229111567,120
896,10.0,0.31622776601683794,0,1.0948193862461368,0.9976866322767283,1.2013062197204794,0.9797093170047331,120
896,10.0,0.31622776601683794,1,1.0913761654863139,0.9964859754306724,1.049219049679119,0.9659145562076029,120
896,10.0,0.31622776601683794,2,1.1022481640529365,0.9976422448830253,1.098759961808145,0.9780830794550687,120
896,10.0,0.31622776601683794,3,1.1074916993165935,0.9969535623829929,1.108312995799493,0.9827820896802102,120
896,10.0,0.31622776601683794,4,1.11900657338719,0.9972927961528063,1.1434982008599732,0.9813939288519196,120
896,10.0,0.31622776601683794,5,1.1157437660184064,0.9971577180976904,1.0792164657063046,0.9648996480382747,120
896,10.0,0.31622776601683794,6,1.123506430252974,0.9973065951188911,1.0537544788717075,0.9791817055935679,120
896,10.0,0.31622776601683794,7,1.0962432725353095,0.9977770771364732,1.112744184688755,0.9858781400071426,120
896,10.0,0.31622776601683794,8,1.1106646387479961,0.9958487239714685,1.0270915955959916,0.9748822203308508,120
896,10.0,0.31622776601683794,9,1.1138965991479601,0.9969827660196325,1.1219272382393375,0.9630404708797377,120
896,10.0,0.31622776601683794,10,1.103771588847431,0.9968300504095362,1.0907951351669385,0.9778422309156652,120
896,10.0,0.31622776601683794,11,1.1176702098940807,0.9979714302943467,1.168433716252954,0.9713271648923892,120
896,10.0,0.31622776601683794,12,1.1047096937665426,0.9976555552406247,1.1239601484367725,0.9810865366255992,120
896,10.0,0.31622776601683794,13,1.1012259722216993,0.9974114182828465,1.147817612439536,0.9808667717810878,120
896,10.0,0.31622776601683794,14,1.1153727313045134,0.9973083591131028,1.1523780943998911,0.9765293874633539,120
896,10.0,0.31622776601683794,15,1.1156938066658861,0.9972948753428501,1.1189133848788455,0.9792044792584711,120
896,10.0,0.31622776601683794,16,1.1122490844785036,0.9974629695235141,1.1674185013775853,0.9721227724257352,120
896,10.0,0.31622776601683794,17,1.0987459917149602,0.9972980101745189,1.1305592520873449,0.9840925604450949,120
896,10.0,0.31622776601683794,18,1.1102849751508508,0.9982999750895604,1.1407114292974978,0.9800585625898658,120
896,10.0,0.31622776601683794,19,1.095934128107032,0.9966051542953235,1.1171102132158035,0.9799541119544909,120
2048,0.1,3.162277660168379,0,1.488826727750253,0.9880633427175002,1.4521236160020476,0.9773592653542875,120
2048,0.1,3.162277660168379,1,1.482538642260878,0.990367632461656,1.5059075921656209,0.950756934034865,120
2048,0.1,3.162277660168379,2,1.4698082257049752,0.9904667051468145,1.4751353895476398,0.9753148716950347,120
