hidden_dim,snr,n_seeds,slope_mean,slope_std,slope_se,mantel_mean,mantel_std,slope_vs_human_mean,slope_vs_human_se,mantel_vs_human_mean
896,0.1,20,1.3877573306112392,0.019664520960701593,0.004397120561309821,0.9891506493610545,0.0014390970977855191,1.3989165552653826,0.014979432813185662,0.9702838343146553
896,0.3,20,1.3159894704489183,0.018760306899833972,0.004194932150678718,0.9948324510881015,0.0010489757303462153,1.309638892899477,0.00790045371258226,0.9723654358832482
896,1.0,20,1.2157569516787268,0.010140201006632482,0.0022674178756342035,0.9968620750936454,0.0005178299336789716,1.2167471673740242,0.010190942734421032,0.978063443270389
896,3.0,20,1.1602720831370015,0.007567419198093383,0.0016921263741173798,0.9972938506191508,0.0005313372247773149,1.1576068592603597,0.01115205221751572,0.9758229170271088
896,10.0,20,1.1075327438671658,0.009224858361768333,0.0020627410379721297,0.9972635944618302,0.0005523857435969469,1.1176963939261237,0.009628575996606806,0.9769424867200431
2048,0.1,20,1.482243630432102,0.024005019612997298,0.005367685565587751,0.9893542614567021,0.0013736083139843003,1.4753744130940736,0.011481021171963961,0.9703279844491315
2048,0.3,20,1.3010440403849595,0.012232063184300018,0.002735172478516734,0.9959801479010346,0.0008234688521336265,1.2992208300273318,0.018288453793250604,0.9759843963240253
2048,1.0,20,1.1645759430661689,0.011434771363954902,0.002556892607697118,0.9974281059938305,0.0004654102788310081,1.18245713942688,0.011114654259534132,0.9763333549334778
2048,3.0,20,1.0998226529748774,0.009817670527347378,0.002195297867984491,0.9971284406018233,0.0005455410803533828,1.0938831823654107,0.012870731010353128,0.9751197707682
2048,10.0,20,1.0701800696968153,0.009736626844423748,0.0021771759495680804,0.9973255941329879,0.0005224022739838092,1.0738741864766777,0.010077532456270985,0.9753653840166685
4096,0.1,20,1.5374400883323267,0.020472680467564657,0.004577830520710672,0.9887088648086377,0.0018373384210653796,1.5254788691641374,0.01539552971555711,0.9706082529108537
4096,0.3,20,1.309827932266948,0.012140975901956225,0.0027148047429960903,0.9962609534306189,0.0006214439313444882,1.279540414684352,0.015106569351794639,0.9731454928583199
4096,1.0,20,1.1434377341538107,0.010409258490258198,0.0023275809579584215,0.9974542560210773,0.0004133069664238288,1.154412142150613,0.012057614319628412,0.9776458865086488
4096,3.0,20,1.0756162889212095,0.007744282335410518,0.001731674173892872,0.9971691935529512,0.0004647780003175959,1.092496068736859,0.006347521622559042,0.9761815274750804
4096,10.0,20,1.0413950029340262,0.011747659116190245,0.002626856436029653,0.9969653310406137,0.0004646721039638015,1.0395472046533365,0.013394411252131712,0.9741754405590821
5120,0.1,20,1.5596803037725138,0.023066332560192408,0.005157788759620697,0.988724921307505,0.0013310308864767089,1.5638615020408297,0.018289930404749154,0.9695984676361717
5120,0.3,20,1.3091464546920406,0.010715525927598958,0.002396064438877277,0.9964478182089893,0.00041385124884313454,1.3187388496978367,0.012062500337304083,0.9772801083359285
5120,1.0,20,1.141944989505704,0.010188383618887317,0.002278191835267734,0.9971729628570829,0.0005798612638963123,1.1232292030129085,0.014278651656307323,0.9743956706182297
5120,3.0,20,1.0692710617466314,0.006727424433743842,0.0015042978347344278,0.99712539550919,0.0006126983079203488,1.0767678615227843,0.012178738004835654,0.9732860548537016
5120,10.0,20,1.033073104299714,0.009357197685889882,0.002092333010455351,0.9969589461508805,0.0004109944130290003,1.0445885428794532,0.010089086831145436,0.9738701617444313
