group,n,pearson_r,pearson_p,spearman_r,spearman_p,boot_ci_lo,boot_ci_hi,loo_min,loo_max
instruct,7,0.9016438096622472,0.005523092754780895,0.6785714285714287,0.0937502539598313,0.6016771132497774,0.9979672179704261,0.8735575522698651,0.9504150593728943
base,7,0.17110673348348954,0.7137537108304418,0.07142857142857144,0.8790481931481541,-0.7898072511169492,0.8774631490744486,-0.20461786724541825,0.39128236216886597
all_14,14,0.6776171222727088,0.007748852909770423,,,,,,
