target,type,split_half_r,spearman_brown_r,n_samples
IRI_Perspective_taking,subscale,-0.2157308012247085,0.01,200
IRI_Fantasy,subscale,-0.086555927991867,0.01,200
IRI_Empathic_concern,subscale,-0.0565364733338356,0.01,200
IRI_Personal_distress,subscale,-0.1798756420612335,0.01,200
PANAS_Positive_Affect,subscale,-0.1011414378881454,0.01,200
PANAS_Negative_Affect,subscale,-0.3388342261314392,0.01,200
POM_Peace_of_Mind,subscale,0.072524607181549,0.1352409273386001,200
BigFive_Extraversion,subscale,0.2860561013221741,0.4448578953742981,200
BigFive_Agreeableness,subscale,-0.0040864460170269,0.01,200
BigFive_Conscientiousness,subscale,-0.1176234483718872,0.01,200
BigFive_Neuroticism,subscale,-0.124123491346836,0.01,200
BigFive_Openness,subscale,-0.0284513533115386,0.01,200
SelfConst_Independent_self,subscale,0.0006797239184379,0.01,200
SelfConst_Interdependent_self,subscale,0.0238725040107965,0.0466317906975746,200
LifeSat_Life_Satisfaction,subscale,0.104565791785717,0.1893337517976761,200
Lonely_Loneliness,subscale,0.0408559255301952,0.0785044804215431,200
IRI,scale,0.329301655292511,0.4954506158828735,200
PANAS,scale,-0.307864248752594,0.01,200
POM,scale,-0.120483174920082,0.01,200
BigFive,scale,-0.2204532325267791,0.01,200
SelfConst,scale,0.1271802484989166,0.225660890340805,200
LifeSat,scale,-0.5648746490478516,0.01,200
Lonely,scale,0.2942506074905395,0.454704225063324,200
