label,IRI_Perspective_taking,IRI_Fantasy,IRI_Empathic_concern,IRI_Personal_distress,PANAS_Positive_Affect,PANAS_Negative_Affect,POM_Peace_of_Mind,BigFive_Extraversion,BigFive_Agreeableness,BigFive_Conscientiousness,BigFive_Neuroticism,BigFive_Openness,SelfConst_Independent_self,SelfConst_Interdependent_self,LifeSat_Life_Satisfaction,Lonely_Loneliness
IRI_Perspective_taking,1.0000001192092896,0.7694886326789856,0.7740142941474915,0.7089541554450989,0.2858459949493408,0.3006388545036316,0.5721478462219238,0.2501813173294067,0.3120284676551819,0.2886184453964233,0.3415141999721527,0.4273672103881836,0.8031048774719238,0.8006094098091125,0.6328132152557373,0.516096830368042
IRI_Fantasy,0.7694886326789856,1.0,0.7713202834129333,0.6975464820861816,0.327093243598938,0.3355517983436584,0.6037800312042236,0.2502946257591247,0.3053764998912811,0.30086150765419,0.3440200984477997,0.4335043132305145,0.7825835347175598,0.764630138874054,0.6457346081733704,0.5178835988044739
IRI_Empathic_concern,0.7740142941474915,0.7713202834129333,1.0,0.7592189311981201,0.3090765476226806,0.3469594120979309,0.6132170557975769,0.2118506729602813,0.2864945530891418,0.2644476592540741,0.3287017047405243,0.4159569442272186,0.7784895300865173,0.7925567626953125,0.6490620970726013,0.5613008737564087
IRI_Personal_distress,0.7089541554450989,0.6975464820861816,0.7592189311981201,1.0,0.2962001860141754,0.3701068460941314,0.5784124135971069,0.2786605954170227,0.2694993019104004,0.2705230712890625,0.385147213935852,0.3896996974945068,0.7155857682228088,0.699724555015564,0.6199676990509033,0.4638348519802093
PANAS_Positive_Affect,0.2858459949493408,0.327093243598938,0.3090765476226806,0.2962001860141754,0.9999999403953552,0.7483643293380737,0.4569249153137207,0.6269344687461853,0.6258577108383179,0.5325058102607727,0.567190945148468,0.4848452508449554,0.3684776723384857,0.4206298887729645,0.2666534185409546,0.28284952044487
PANAS_Negative_Affect,0.3006388545036316,0.3355517983436584,0.3469594120979309,0.3701068460941314,0.7483643293380737,0.9999999403953552,0.4870683252811432,0.5604678392410278,0.5758727788925171,0.4937611520290375,0.6002668142318726,0.4788556396961212,0.3686027824878692,0.4258247315883636,0.2668414115905761,0.2830972373485565
POM_Peace_of_Mind,0.5721478462219238,0.6037800312042236,0.6132170557975769,0.5784124135971069,0.4569249153137207,0.4870683252811432,1.0000001192092896,0.4432792663574219,0.4546289443969726,0.4328553080558777,0.5254991054534912,0.4055131673812866,0.681276261806488,0.6648687124252319,0.6112783551216125,0.4334584474563598
BigFive_Extraversion,0.2501813173294067,0.2502946257591247,0.2118506729602813,0.2786605954170227,0.6269344687461853,0.5604678392410278,0.4432792663574219,1.0000001192092896,0.6778013706207275,0.6040799617767334,0.6441136598587036,0.4038598239421844,0.3384871482849121,0.3500411510467529,0.2544684708118438,0.2262318879365921
BigFive_Agreeableness,0.3120284676551819,0.3053764998912811,0.2864945530891418,0.2694993019104004,0.6258577108383179,0.5758727788925171,0.4546289443969726,0.6778013706207275,1.0,0.6160345077514648,0.576675295829773,0.4244906604290008,0.3975831866264343,0.4152938723564148,0.2784784138202667,0.2769730389118194
BigFive_Conscientiousness,0.2886184453964233,0.30086150765419,0.2644476592540741,0.2705230712890625,0.5325058102607727,0.4937611520290375,0.4328553080558777,0.6040799617767334,0.6160345077514648,1.0,0.5557211637496948,0.4788112044334411,0.3885981440544128,0.3818640112876892,0.291181206703186,0.2630232870578766
BigFive_Neuroticism,0.3415141999721527,0.3440200984477997,0.3287017047405243,0.385147213935852,0.567190945148468,0.6002668142318726,0.5254991054534912,0.6441136598587036,0.576675295829773,0.5557211637496948,1.0,0.4590526223182678,0.413817435503006,0.4302789270877838,0.2998193204402923,0.2854200005531311
BigFive_Openness,0.4273672103881836,0.4335043132305145,0.4159569442272186,0.3896996974945068,0.4848452508449554,0.4788556396961212,0.4055131673812866,0.4038598239421844,0.4244906604290008,0.4788112044334411,0.4590526223182678,1.0,0.4911050200462341,0.5045004487037659,0.3465546369552612,0.3474668264389038
SelfConst_Independent_self,0.8031048774719238,0.7825835347175598,0.7784895300865173,0.7155857682228088,0.3684776723384857,0.3686027824878692,0.681276261806488,0.3384871482849121,0.3975831866264343,0.3885981440544128,0.413817435503006,0.4911050200462341,1.0,0.8495103120803833,0.6838824152946472,0.5454540252685547
SelfConst_Interdependent_self,0.8006094098091125,0.764630138874054,0.7925567626953125,0.699724555015564,0.4206298887729645,0.4258247315883636,0.6648687124252319,0.3500411510467529,0.4152938723564148,0.3818640112876892,0.4302789270877838,0.5045004487037659,0.8495103120803833,0.9999999403953552,0.6769402623176575,0.530903160572052
LifeSat_Life_Satisfaction,0.6328132152557373,0.6457346081733704,0.6490620970726013,0.6199676990509033,0.2666534185409546,0.2668414115905761,0.6112783551216125,0.2544684708118438,0.2784784138202667,0.291181206703186,0.2998193204402923,0.3465546369552612,0.6838824152946472,0.6769402623176575,1.0,0.3980416059494018
Lonely_Loneliness,0.516096830368042,0.5178835988044739,0.5613008737564087,0.4638348519802093,0.28284952044487,0.2830972373485565,0.4334584474563598,0.2262318879365921,0.2769730389118194,0.2630232870578766,0.2854200005531311,0.3474668264389038,0.5454540252685547,0.530903160572052,0.3980416059494018,1.0
