,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Scale
IRI_Q1,0.12257612906568703,0.16848361045678562,-0.00830563455448282,0.005595100555464771,0.2894240953183936,-0.206704477174179,0.013493642353713428,0.23907643995681743,0.1774744686257064,-0.05133758522353582,IRI
IRI_Q2,-0.04344987138773813,0.04193388628438954,0.011771837808655308,0.05068751210877153,0.05555739031533972,-0.039786492008543714,0.7035003178776941,0.09206963225500463,-0.04080991663849421,0.04200498759029229,IRI
IRI_Q3,-0.11906996434298252,-0.04681776963182294,0.001345195764282181,0.05034745734700161,-0.055708117270686,0.07254956377456845,0.1343295619271771,0.0664904861819777,-0.10135085425782871,0.4120033974309819,IRI
IRI_Q4,-0.08244484850982077,-0.1253466399354254,-0.07396402335176851,0.06042698344660181,-0.029382447928189868,0.07725103680578868,0.46430514672157497,0.11707333900729244,-0.06420554459091046,0.1511611648776004,IRI
IRI_Q5,-0.006729390386020953,-0.005490342914806131,-0.014337338122867473,-0.11970961829935388,-0.06568859271644426,-0.18189472271867102,0.17490820548271893,0.6480795243344141,0.03194232528208481,0.08653284368200753,IRI
IRI_Q6,0.5199172617413145,-0.0038879789440964354,0.03597235220916741,0.09085653484157506,-0.02504697827921844,-0.1644885740637781,0.015995161790647545,0.17864258705166988,-0.052916818256944866,0.03599744858097799,IRI
IRI_Q7,0.02889223609763343,-0.0021512214773456526,0.024033193828826675,-0.10780949747612402,0.009495709803081431,-0.19586380451233085,0.07151156776027523,0.5886054968209586,-0.13994818108654145,0.11693041340104321,IRI
IRI_Q8,0.02385225680065963,0.023492494932791427,0.052183060247983075,0.016100430335863804,0.06780841628857975,0.2953720487785632,0.09641950849447431,-0.04424938487147175,-0.02583566834185433,0.3684471551895458,IRI
IRI_Q9,-0.052419868450083444,0.07734539378027512,-0.09100752190567844,0.2645930069303494,0.04943394122937598,0.05681732420779672,0.4642982116575978,-0.04751688527882306,-0.015317134883542784,0.055047623375192166,IRI
IRI_Q10,0.4219263284236244,0.006914576508465596,-0.06861437146409267,0.2141100223593047,0.0101072181777561,-0.1706526506732326,0.03501017397772481,0.057327065530376135,-0.003500708143531731,0.05567633858149449,IRI
IRI_Q11,0.061886048264975124,-0.021177092571265477,-0.07295445943573953,0.21548821483843392,0.0219019125007028,0.11728206244899941,0.09848505030036973,0.1223347065747358,0.04659537244241698,0.3422717034831438,IRI
IRI_Q12,-0.08675466749257349,-0.06582610552079086,-0.0074254951111629025,-0.20839258612073638,0.13109032720775152,-0.09542765548186685,0.09116435635482384,0.5139424080835238,-0.10588262252336207,0.31074459938880905,IRI
IRI_Q13,0.08522198155809453,0.013503074032443428,-0.02913359173179315,0.03840440978569171,0.13735312094983013,-0.1069803947247995,0.2658211491619822,0.12265068182142852,0.13896363049046795,-0.06484962928232602,IRI
IRI_Q14,-0.032383507753231885,0.035936092420346136,0.03578448978742778,0.03368870958545585,0.056298797094080685,0.06983584905603972,0.5245105574296668,0.05173170411495449,-0.06726045465203787,-0.13860475211074066,IRI
