level,layer,n_constructs,n_pairs,mantel_r,mantel_p,pearson_r,pearson_p,slope,intercept
subscale,4,16,120,-0.0479417609384907,0.6759324067593241,-0.0479417609384907,0.6030790128223963,-0.0391671066867245,-0.0028845813039039
scale,4,7,21,-0.2450931054052215,0.833916608339166,-0.2450931054052215,0.2842488632212808,-0.1565477285874686,0.084864007279799
subscale,6,16,120,-0.0190523831603341,0.5433456654334566,-0.0190523831603341,0.8363670876082987,-0.0174997771629882,-0.0026826191165375
scale,6,7,21,-0.3361262885338625,0.9312068793120688,-0.3361262885338626,0.1362905779241227,-0.2155040372789845,0.0947261249435093
subscale,8,16,120,0.019752701643699,0.3798620137986201,0.019752701643699,0.8304409581934635,0.0185449254100567,-0.0017346814245133
scale,8,7,21,-0.3445728384991638,0.931906809319068,-0.3445728384991638,0.126108654664763,-0.2338014796956848,0.109063770966904
subscale,10,16,120,0.0656888152719327,0.2231776822317768,0.0656888152719327,0.4759549875134558,0.0650168717108005,0.0020037735527008
scale,10,7,21,-0.3383709195743271,0.9343065693430656,-0.3383709195743271,0.133529774343474,-0.2517507367881341,0.1086688758958394
subscale,12,16,120,0.0663686292637612,0.2101789821017898,0.0663686292637612,0.4713915582202312,0.0704513153701428,-0.0014205228586587
scale,12,7,21,-0.3066258625902635,0.916008399160084,-0.3066258625902635,0.1763978385638093,-0.2510674095972247,0.1237042147883416
subscale,14,16,120,0.0275014026046786,0.3177682231776822,0.0275014026046786,0.765576561772695,0.0342883074897532,-0.0063737076106054
scale,14,7,21,-0.1827836727397362,0.7273272672732727,-0.1827836727397362,0.4277514454977087,-0.1535061692438442,0.1933570069021607
