level,matrix_r,pearson_p,mantel_p,rmse,n_pairs,r,slope
item,0.630913315847363,0.0,0.0001999600079984003,0.28230417256028467,6441,,
item_within,,,,0.13226225364718297,1110,0.8849605091986894,0.9992454492323126
item_between,,,,0.3043799838842886,5331,0.6087463749074942,1.46398134501034
subscale,0.740076051006888,4.595363848580511e-22,0.0001999600079984003,0.3718594127790299,120,,
subscale_within,,,,0.13645246595362637,18,0.8455591292696532,1.0008548567033602
subscale_between,,,,0.3992441852722409,102,0.7515201874609017,1.4966189780347736
scale,0.8323715496768354,2.868784720673637e-06,0.001799640071985603,0.32933530178594095,21,,
