level,layer,n_constructs,n_pairs,mantel_r,mantel_p,pearson_r,pearson_p,slope,intercept
subscale,10,16,120,0.0346679327632804,0.3292670732926707,0.0346679327632804,0.7069866279033679,0.0178951210368003,0.0087865176906241
scale,10,7,21,-0.1070689543399942,0.6241375862413758,-0.1070689543399942,0.6441248835632354,-0.0852157787658644,-0.0232234069616961
subscale,14,16,120,0.0278366720655793,0.364963503649635,0.0278366720655794,0.762802837990934,0.0153367577845906,0.0150950351227603
scale,14,7,21,-0.0999121344916374,0.6338366163383662,-0.0999121344916374,0.6665410584009832,-0.0792906082621859,-0.0227057439429572
subscale,18,16,120,0.0517148262610377,0.2803719628037196,0.0517148262610376,0.5748292289441786,0.0297325832717123,0.014013380066228
scale,18,7,21,-0.0687991822073646,0.5763423657634237,-0.0687991822073646,0.7669833235249433,-0.0590753466799041,-0.0136283545907625
subscale,22,16,120,0.0348171473568996,0.3366663333666633,0.0348171473568996,0.7057833954799618,0.0208207760548968,0.01799533483326
scale,22,7,21,-0.0614217497335909,0.5622437756224378,-0.0614217497335909,0.7914070354585743,-0.0497115638244679,0.0023282618815677
subscale,26,16,120,0.03861267410305,0.3172682731726827,0.03861267410305,0.6754284122511566,0.0253090981777304,0.0160254340914429
scale,26,7,21,-0.0006652388472126,0.4512548745125487,-0.0006652388472126,0.997716599203738,-0.0005432489533366,6.894678011831598e-05
