,IRI_Perspective_taking,IRI_Fantasy,IRI_Empathic_concern,IRI_Personal_distress,PANAS_Positive_Affect,PANAS_Negative_Affect,POM_Peace_of_Mind,BigFive_Extraversion,BigFive_Agreeableness,BigFive_Conscientiousness,BigFive_Neuroticism,BigFive_Openness,SelfConst_Independent_self,SelfConst_Interdependent_self,LifeSat_Life_Satisfaction,Lonely_Loneliness
IRI_Perspective_taking,1.0,0.4774141013622284,0.48705440759658813,0.24074700474739075,0.2138989120721817,-0.19974634051322937,-0.27317893505096436,0.20063908398151398,0.3396352529525757,0.3224773705005646,-0.0706726461648941,-0.00010425133950775489,0.3321968615055084,0.28685957193374634,0.08501105010509491,-0.34490302205085754
IRI_Fantasy,0.4774141013622284,1.0000001192092896,0.5684722065925598,0.2568351626396179,0.26829347014427185,-0.1380830556154251,-0.1644822359085083,0.1688280552625656,0.4317591190338135,0.35079798102378845,-0.01177223864942789,-0.2143436223268509,0.21656733751296997,0.19764938950538635,0.0912967249751091,-0.16647973656654358
IRI_Empathic_concern,0.48705440759658813,0.5684722065925598,1.0,0.3533216416835785,0.28662317991256714,-0.1685732752084732,-0.14466242492198944,0.2865907549858093,0.46064746379852295,0.3072499632835388,-0.09319143742322922,-0.2101348638534546,0.3672816753387451,0.2891579270362854,-0.07426485419273376,-0.1039498820900917
IRI_Personal_distress,0.24074700474739075,0.2568351626396179,0.3533216416835785,1.0,0.1461087465286255,-0.06428512185811996,-0.028181729838252068,-0.0201468113809824,0.29346299171447754,0.31368717551231384,-0.16267600655555725,-0.10813523828983307,0.2840067446231842,0.15787723660469055,0.04567804932594299,-0.06857512891292572
PANAS_Positive_Affect,0.2138989120721817,0.26829347014427185,0.28662317991256714,0.1461087465286255,1.0,-0.16203665733337402,-0.13681833446025848,0.13829928636550903,0.2772902846336365,0.2103913128376007,-0.19737327098846436,0.005919420160353184,0.27971482276916504,0.05340689420700073,0.0442592091858387,-0.2547657787799835
PANAS_Negative_Affect,-0.19974634051322937,-0.1380830556154251,-0.1685732752084732,-0.06428512185811996,-0.16203665733337402,1.0,0.08803108334541321,-0.04493384435772896,-0.12799426913261414,-0.046553175896406174,0.12081523984670639,-0.023722421377897263,-0.06735368072986603,0.034110426902770996,-0.032061055302619934,0.1724897176027298
POM_Peace_of_Mind,-0.27317893505096436,-0.1644822359085083,-0.14466242492198944,-0.028181729838252068,-0.13681833446025848,0.08803108334541321,1.0,0.029724454507231712,-0.2264118641614914,-0.0841841921210289,0.06700015813112259,0.006230042316019535,-0.029653500765562057,-0.19429531693458557,0.008758031763136387,0.3124074935913086
BigFive_Extraversion,0.20063908398151398,0.1688280552625656,0.2865907549858093,-0.0201468113809824,0.13829928636550903,-0.04493384435772896,0.029724454507231712,1.0,0.07022756338119507,0.018067121505737305,-0.003961864393204451,-0.0247087050229311,0.20920932292938232,0.2284572720527649,0.09340949356555939,-0.11693759262561798
BigFive_Agreeableness,0.3396352529525757,0.4317591190338135,0.46064746379852295,0.29346299171447754,0.2772902846336365,-0.12799426913261414,-0.2264118641614914,0.07022756338119507,1.0,0.3094647228717804,-0.15014863014221191,-0.15130841732025146,0.11761187762022018,0.19905813038349152,-0.019321199506521225,-0.22423136234283447
BigFive_Conscientiousness,0.3224773705005646,0.35079798102378845,0.3072499632835388,0.31368717551231384,0.2103913128376007,-0.046553175896406174,-0.0841841921210289,0.018067121505737305,0.3094647228717804,1.0000001192092896,-0.19415180385112762,-0.15462735295295715,0.2207542061805725,0.17299732565879822,-0.0827745646238327,-0.14195021986961365
BigFive_Neuroticism,-0.0706726461648941,-0.01177223864942789,-0.09319143742322922,-0.16267600655555725,-0.19737327098846436,0.12081523984670639,0.06700015813112259,-0.003961864393204451,-0.15014863014221191,-0.19415180385112762,1.0,0.1000596135854721,-0.12399448454380035,-0.059737373143434525,0.15301859378814697,0.2094188630580902
BigFive_Openness,-0.00010425133950775489,-0.2143436223268509,-0.2101348638534546,-0.10813523828983307,0.005919420160353184,-0.023722421377897263,0.006230042316019535,-0.0247087050229311,-0.15130841732025146,-0.15462735295295715,0.1000596135854721,1.0,0.03242601454257965,-0.20716576278209686,-0.0015718464273959398,-0.04235801100730896
SelfConst_Independent_self,0.3321968615055084,0.21656733751296997,0.3672816753387451,0.2840067446231842,0.27971482276916504,-0.06735368072986603,-0.029653500765562057,0.20920932292938232,0.11761187762022018,0.2207542061805725,-0.12399448454380035,0.03242601454257965,1.0,-0.0077325282618403435,0.015664532780647278,-0.2128220796585083
SelfConst_Interdependent_self,0.28685957193374634,0.19764938950538635,0.2891579270362854,0.15787723660469055,0.05340689420700073,0.034110426902770996,-0.19429531693458557,0.2284572720527649,0.19905813038349152,0.17299732565879822,-0.059737373143434525,-0.20716576278209686,-0.0077325282618403435,1.0,-0.07005959004163742,-0.09776659309864044
LifeSat_Life_Satisfaction,0.08501105010509491,0.0912967249751091,-0.07426485419273376,0.04567804932594299,0.0442592091858387,-0.032061055302619934,0.008758031763136387,0.09340949356555939,-0.019321199506521225,-0.0827745646238327,0.15301859378814697,-0.0015718464273959398,0.015664532780647278,-0.07005959004163742,1.0,-0.01721891388297081
Lonely_Loneliness,-0.34490302205085754,-0.16647973656654358,-0.1039498820900917,-0.06857512891292572,-0.2547657787799835,0.1724897176027298,0.3124074935913086,-0.11693759262561798,-0.22423136234283447,-0.14195021986961365,0.2094188630580902,-0.04235801100730896,-0.2128220796585083,-0.09776659309864044,-0.01721891388297081,1.0000001192092896
