target,type,split_half_r,spearman_brown_r,n_samples
IRI_Perspective_taking,subscale,-0.1167298704385757,0.01,200
IRI_Fantasy,subscale,0.6417374610900879,0.7817783951759338,200
IRI_Empathic_concern,subscale,0.208249419927597,0.3447126150131225,200
IRI_Personal_distress,subscale,-0.2056279778480529,0.01,200
PANAS_Positive_Affect,subscale,-0.1741967946290969,0.01,200
PANAS_Negative_Affect,subscale,-0.3178979456424713,0.01,200
POM_Peace_of_Mind,subscale,-0.0803392753005027,0.01,200
BigFive_Extraversion,subscale,0.4812011122703552,0.64974445104599,200
BigFive_Agreeableness,subscale,0.1047488898038864,0.1896338462829589,200
BigFive_Conscientiousness,subscale,0.3336964845657348,0.500408411026001,200
BigFive_Neuroticism,subscale,-0.4415320158004761,0.01,200
BigFive_Openness,subscale,-0.1713132560253143,0.01,200
SelfConst_Independent_self,subscale,0.2331462502479553,0.3781323730945587,200
SelfConst_Interdependent_self,subscale,0.1413557231426239,0.2476979196071624,200
LifeSat_Life_Satisfaction,subscale,-0.5764875411987305,0.01,200
Lonely_Loneliness,subscale,0.1793526411056518,0.3041543960571289,200
IRI,scale,0.2066411674022674,0.3425064086914062,200
PANAS,scale,0.5839962959289551,0.7373707890510559,200
POM,scale,0.1039493381977081,0.1883226633071899,200
BigFive,scale,-0.1732331812381744,0.01,200
SelfConst,scale,-0.1750948131084442,0.01,200
LifeSat,scale,0.3322007060050964,0.4987246990203857,200
Lonely,scale,-0.0092959655448794,0.01,200
