level,layer,n_constructs,n_pairs,mantel_r,mantel_p,pearson_r,pearson_p,slope,intercept
subscale,8,16,120,-0.1687228765421557,0.99000099990001,-0.1687228765421557,0.0654530793445786,-0.1958213775249742,0.0216640231749506
scale,8,7,21,-0.2650753716313209,0.8743125687431257,-0.2650753716313208,0.2455332698465651,-0.2705314951018437,0.1272696289315926
subscale,10,16,120,-0.1736403520221271,0.9916008399160084,-0.173640352022127,0.0578728751624267,-0.1920191389800963,0.0273856708643289
scale,10,7,21,-0.2494059484971818,0.8521147885211479,-0.2494059484971818,0.2755891027629165,-0.2251477457351473,0.1119390991270671
subscale,12,16,120,-0.1608732285578989,0.983901609839016,-0.1608732285578989,0.0792107502268857,-0.1597707424305836,0.0255143834437181
scale,12,7,21,-0.2122671933015246,0.7953204679532047,-0.2122671933015246,0.3556138249873529,-0.1627105783972607,0.0970242069304284
subscale,14,16,120,-0.1587771272903445,0.9837016298370164,-0.1587771272903446,0.0832527785358943,-0.1638302925830395,0.0296549229945322
scale,14,7,21,-0.1693719401946071,0.7512248775122488,-0.1693719401946071,0.4629722646194995,-0.1304895389393776,0.0847851422886912
subscale,16,16,120,-0.1599173209681694,0.9844015598440156,-0.1599173209681694,0.0810340946846472,-0.1747928749684827,0.0267907901683476
scale,16,7,21,-0.1258007293847942,0.6938306169383062,-0.1258007293847942,0.5868836672321873,-0.0961242135146699,0.0850686239585718
subscale,18,16,120,-0.1655113176208958,0.9892010798920108,-0.1655113176208958,0.0708262850006992,-0.1882316494654514,0.0254237749365457
scale,18,7,21,-0.1401875636319958,0.7138286171382862,-0.1401875636319958,0.5444563634630832,-0.1082610367768279,0.0893148922607915
subscale,20,16,120,-0.150850037003579,0.9788021197880212,-0.150850037003579,0.1000505842959902,-0.1752240588992767,0.0200476186777434
scale,20,7,21,-0.1122167734560672,0.6785321467853215,-0.1122167734560672,0.6281816978476369,-0.0849694869567731,0.0840990539316271
