label,IRI_Perspective_taking,IRI_Fantasy,IRI_Empathic_concern,IRI_Personal_distress,PANAS_Positive_Affect,PANAS_Negative_Affect,POM_Peace_of_Mind,BigFive_Extraversion,BigFive_Agreeableness,BigFive_Conscientiousness,BigFive_Neuroticism,BigFive_Openness,SelfConst_Independent_self,SelfConst_Interdependent_self,LifeSat_Life_Satisfaction,Lonely_Loneliness
IRI_Perspective_taking,1.0,0.0722086027245756,-0.1758341083757824,-0.978236801719169,-0.5811853212928326,1.0,-0.973283330187148,-0.8035895812822861,0.908047269526738,-0.7882148902355464,0.2143769397654129,-0.3677918949480649,-0.2434444692429109,1.0,1.0,-0.7777088130384743
IRI_Fantasy,0.0722086027245756,1.0,-1.0,-0.4993094868260989,0.3076587771736056,-1.0,0.6043523940033884,-0.2259966191008504,0.2685440708433929,-1.0,-0.7712083118662189,0.7131774324096491,-0.6899665706537503,-1.0,-1.0,1.0
IRI_Empathic_concern,-0.1758341083757824,-1.0,1.0,1.0,-0.2574752069849006,-1.0,-1.0,-1.0,0.1890035898803475,1.0,1.0,-1.0,1.0,1.0,-0.2479907742690312,-1.0
IRI_Personal_distress,-0.978236801719169,-0.4993094868260989,1.0,1.0,0.4175579405301968,1.0,-0.5133651106043469,-1.0,-0.0194080455173776,1.0,0.2381993634406201,0.2962135801299338,1.0,1.0,-1.0,-1.0
PANAS_Positive_Affect,-0.5811853212928326,0.3076587771736056,-0.2574752069849006,0.4175579405301968,1.0,-1.0,0.9929916036261276,0.1857482402148767,-0.9610000881189896,1.0,-0.7373370274624599,-0.0263922940972012,0.7558508335087969,0.8227896602942151,-1.0,1.0
PANAS_Negative_Affect,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
POM_Peace_of_Mind,-0.973283330187148,0.6043523940033884,-1.0,-0.5133651106043469,0.9929916036261276,1.0,1.0,0.3859633851461964,-1.0,-0.2676979396717652,-0.6598870331137509,0.844873570355436,-0.0987474410268916,-1.0,1.0,1.0
BigFive_Extraversion,-0.8035895812822861,-0.2259966191008504,-1.0,-1.0,0.1857482402148767,-1.0,0.3859633851461964,1.0,-0.7248773419729442,1.0,-0.0211522165736776,-1.0,-0.0929247316194209,-1.0,1.0,1.0
BigFive_Agreeableness,0.908047269526738,0.2685440708433929,0.1890035898803475,-0.0194080455173776,-0.9610000881189896,-1.0,-1.0,-0.7248773419729442,1.0,-1.0,0.59548130540344,-0.7376358355153072,-0.8553388502001126,-1.0,-1.0,-1.0
BigFive_Conscientiousness,-0.7882148902355464,-1.0,1.0,1.0,1.0,1.0,-0.2676979396717652,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,0.7735259830951691,1.0
BigFive_Neuroticism,0.2143769397654129,-0.7712083118662189,1.0,0.2381993634406201,-0.7373370274624599,1.0,-0.6598870331137509,-0.0211522165736776,0.59548130540344,1.0,1.0,-0.6070354446863142,0.5796720930473196,0.2055463864224875,1.0,-1.0
BigFive_Openness,-0.3677918949480649,0.7131774324096491,-1.0,0.2962135801299338,-0.0263922940972012,1.0,0.844873570355436,-1.0,-0.7376358355153072,-1.0,-0.6070354446863142,1.0,-0.6584709886720613,-1.0,-1.0,0.3274362438035015
SelfConst_Independent_self,-0.2434444692429109,-0.6899665706537503,1.0,1.0,0.7558508335087969,1.0,-0.0987474410268916,-0.0929247316194209,-0.8553388502001126,1.0,0.5796720930473196,-0.6584709886720613,1.0,1.0,-0.1353412124895366,1.0
SelfConst_Interdependent_self,1.0,-1.0,1.0,1.0,0.8227896602942151,1.0,-1.0,-1.0,-1.0,1.0,0.2055463864224875,-1.0,1.0,1.0,1.0,-1.0
LifeSat_Life_Satisfaction,1.0,-1.0,-0.2479907742690312,-1.0,-1.0,1.0,1.0,1.0,-1.0,0.7735259830951691,1.0,-1.0,-0.1353412124895366,1.0,1.0,-1.0
Lonely_Loneliness,-0.7777088130384743,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,0.3274362438035015,1.0,-1.0,-1.0,1.0
