model,min,max,spread
llama1b_instruct,0.9083097245290278,1.4399431564746819,0.531633431945654
llama3b_instruct,1.078922920168377,1.6283763352009697,0.5494534150325927
llama8b_base,1.057533011345988,1.633774303399859,0.5762412920538711
llama8b_instruct,1.0984368654466958,1.6974305347200247,0.5989936692733289
qwen05b_instruct,0.49564338256165147,1.4700710840597715,0.97442770149812
qwen14b_base,1.0485638721344053,1.6980745067879752,0.64951063465357
qwen14b_instruct,0.8852061587103491,1.7689246677710202,0.8837185090606711
qwen3b_instruct,0.963452969452883,1.3835349641130719,0.4200819946601889
qwen7b_instruct,1.0489785681850303,1.653034945028018,0.6040563768429876
