target,type,split_half_r,spearman_brown_r,n_samples
IRI_Perspective_taking,subscale,-0.1292601823806762,0.01,200
IRI_Fantasy,subscale,0.4005129635334015,0.5719518065452576,200
IRI_Empathic_concern,subscale,0.1260316967964172,0.2238510698080063,200
IRI_Personal_distress,subscale,0.165879800915718,0.2845572829246521,200
PANAS_Positive_Affect,subscale,0.146828219294548,0.2560596764087677,200
PANAS_Negative_Affect,subscale,0.2059228122234344,0.3415190577507019,200
POM_Peace_of_Mind,subscale,0.0287819094955921,0.0559533759951591,200
BigFive_Extraversion,subscale,0.0050189439207315,0.01,200
BigFive_Agreeableness,subscale,-0.2190995216369629,0.01,200
BigFive_Conscientiousness,subscale,-0.0127121852710843,0.01,200
BigFive_Neuroticism,subscale,-0.168557733297348,0.01,200
BigFive_Openness,subscale,0.1299636662006378,0.2300315946340561,200
SelfConst_Independent_self,subscale,0.2110847532749176,0.3485879302024841,200
SelfConst_Interdependent_self,subscale,-0.2105280011892318,0.01,200
LifeSat_Life_Satisfaction,subscale,-0.0231445431709289,0.01,200
Lonely_Loneliness,subscale,0.2794940769672394,0.4368821978569031,200
IRI,scale,-0.1907485723495483,0.01,200
PANAS,scale,0.0749908089637756,0.139518991112709,200
POM,scale,0.0910700336098671,0.1669370979070663,200
BigFive,scale,-0.0890391767024993,0.01,200
SelfConst,scale,-0.0096588507294654,0.01,200
LifeSat,scale,0.0571742691099643,0.1081643179059028,200
Lonely,scale,-0.0296766608953475,0.01,200
