target,type,split_half_r,spearman_brown_r,n_samples
IRI_Perspective_taking,subscale,-0.0234889555722475,0.01,200
IRI_Fantasy,subscale,-0.0790929049253463,0.01,200
IRI_Empathic_concern,subscale,-0.0316022150218486,0.01,200
IRI_Personal_distress,subscale,0.0724758952856063,0.1351562142372131,200
PANAS_Positive_Affect,subscale,0.1867066621780395,0.3146635293960571,200
PANAS_Negative_Affect,subscale,-0.1223378404974937,0.01,200
POM_Peace_of_Mind,subscale,0.0641976371407508,0.1206498369574546,200
BigFive_Extraversion,subscale,0.0692750960588455,0.1295739412307739,200
BigFive_Agreeableness,subscale,-0.1081282943487167,0.01,200
BigFive_Conscientiousness,subscale,0.1817107498645782,0.3075384497642517,200
BigFive_Neuroticism,subscale,0.1039374619722366,0.1883031576871872,200
BigFive_Openness,subscale,0.3056892156600952,0.4682419300079345,200
SelfConst_Independent_self,subscale,0.0510504692792892,0.0971418097615242,200
SelfConst_Interdependent_self,subscale,-0.049332607537508,0.01,200
LifeSat_Life_Satisfaction,subscale,0.0185618065297603,0.0364470891654491,200
Lonely_Loneliness,subscale,-0.1405812501907348,0.01,200
IRI,scale,-0.3107299208641052,0.01,200
PANAS,scale,0.1660887449979782,0.2848646938800812,200
POM,scale,0.1800107657909393,0.3051002025604248,200
BigFive,scale,-0.2954164445400238,0.01,200
SelfConst,scale,0.0238447040319442,0.0465787500143051,200
LifeSat,scale,0.0205588955432176,0.0402894802391529,200
Lonely,scale,0.2016173005104065,0.3355765640735626,200
