model,size,mtype,family,layer,slope_indep_ridge,mantel_indep_ridge,slope_pls_2,mantel_pls_2,slope_reduced_rank_5,mantel_reduced_rank_5,elapsed_sec
qwen05b_instruct,0.5,instruct,qwen,8,1.9564945367230675,0.8544628441294372,2.2272008807838137,0.8430997889350935,1.234637264650965,0.5704685944760547,16.74492073059082
llama1b_instruct,1.0,instruct,llama,8,1.8149457799550832,0.7751434997974431,1.9881773263877165,0.6853779267810026,1.7705739364995041,0.8046269566825875,25.542036294937134
qwen3b_instruct,3.0,instruct,qwen,14,1.876365371984058,0.7638124384281436,2.0696068700195953,0.6894450436965106,1.9994219033122997,0.7678471323704911,25.75064206123352
llama3b_instruct,3.0,instruct,llama,14,1.6705309073039132,0.9548896080638222,2.178084117858886,0.8796047377023464,2.0399103258452627,0.879407830448582,44.09564256668091
qwen7b_instruct,7.0,instruct,qwen,18,1.408848787125689,0.9733935995741826,1.9923927084129136,0.7035991978271086,1.133222439965971,0.5604531611583891,47.36316251754761
llama8b_instruct,8.0,instruct,llama,16,1.68647078016169,0.9746326917753132,2.011925624861471,0.7604800751894731,2.1138139508421703,0.9252004728167443,54.88040232658386
llama8b_base,8.0,base,llama,14,1.9018784858373126,0.937897072077171,2.0846694058766975,0.8359386732696736,2.1134150145341617,0.8328813903769705,54.62615442276001
qwen14b_instruct,14.0,instruct,qwen,32,1.4524372616428627,0.977028854136643,2.1124923479227,0.830932732595123,0.3518233459536306,0.2452801749780434,65.21831917762756
qwen14b_base,14.0,base,qwen,28,1.5194365554469638,0.9621701877825592,2.0033869763014023,0.7558691858696228,1.0419419381996993,0.5011517188786522,65.26657295227051
