level,layer,n_constructs,n_pairs,mantel_r,mantel_p,pearson_r,pearson_p,slope,intercept
subscale,16,16,120,0.4452734152598494,9.999000099990002e-05,0.4452734152598493,3.4719848710989697e-07,0.5154806001656843,0.1432001792343245
scale,16,7,21,0.6415845490968741,0.0236976302369763,0.6415845490968741,0.0017190801953747,0.8673529987802724,0.1636871271822925
subscale,20,16,120,0.4415405400735251,9.999000099990002e-05,0.4415405400735253,4.462186236884242e-07,0.5457989158379134,0.1453123513178106
scale,20,7,21,0.6473449608782997,0.0248975102489751,0.6473449608782997,0.0015125713665543,0.9172201440819177,0.1691365968795064
subscale,24,16,120,0.4662579441226265,9.999000099990002e-05,0.4662579441226264,8.002654641809497e-08,0.6072826737730757,0.1339712131152771
scale,24,7,21,0.6453760398438647,0.0257974202579742,0.6453760398438648,0.0015806611389701,0.9681020792082669,0.1620961685663566
subscale,28,16,120,0.5101359734794804,9.999000099990002e-05,0.5101359734794804,2.654903028577124e-09,0.6426064671098667,0.1314340032395822
scale,28,7,21,0.6529792329169763,0.0206979302069793,0.6529792329169763,0.0013312469699815,0.92606245611648,0.1487812616701325
subscale,32,16,120,0.6180993490100217,9.999000099990002e-05,0.6180993490100218,5.429103696541747e-14,0.7754730186686797,0.1220884616228106
scale,32,7,21,0.672088141214557,0.0143985601439856,0.6720881412145568,0.000846524355959,0.9035349855651694,0.1553462630458998
subscale,36,16,120,0.6598967881659276,9.999000099990002e-05,0.6598967881659273,2.459498875355853e-16,0.7653350468172546,0.1043396874595692
scale,36,7,21,0.6502254318175766,0.0166983301669833,0.6502254318175766,0.0014174285894833,0.7571991147919209,0.1391859862184819
