level,layer,n_constructs,n_pairs,mantel_r,mantel_p,pearson_r,pearson_p,slope,intercept
subscale,12,16,120,0.2596601421775492,0.0121987801219878,0.259660142177549,0.0041838605013967,0.1682065176835073,0.0028608952996067
scale,12,7,21,0.6696648651435904,0.0194980501949805,0.6696648651435902,0.0008981211322517,0.5353756242476834,0.0957104859362672
subscale,14,16,120,0.3410604039012525,0.0033996600339966,0.3410604039012524,0.0001378615794495,0.2258306817273924,0.0058742456442528
scale,14,7,21,0.6972807227208135,0.0132986701329867,0.6972807227208137,0.0004427860829318,0.6111394374767812,0.1180809195883687
subscale,16,16,120,0.3552184992698442,0.0021997800219978,0.3552184992698445,6.858724522411665e-05,0.2351948838664558,0.0082349566751961
scale,16,7,21,0.7431771619528338,0.004999500049995,0.7431771619528339,0.0001133757454772,0.5798457066499266,0.1124706612578185
subscale,18,16,120,0.3683505638887989,0.0015998400159984,0.368350563888799,3.482825340521049e-05,0.2326010540311057,0.0075878598152364
scale,18,7,21,0.7249143654567329,0.0044995500449955,0.7249143654567328,0.0002012193491941,0.5099342341718975,0.1077185992347012
subscale,20,16,120,0.3338137117760592,0.0020997900209979,0.3338137117760594,0.0001945932014605,0.2131231928098416,0.0102699421463118
scale,20,7,21,0.706385110104521,0.0082991700829917,0.7063851101045208,0.0003447833774405,0.479191270046605,0.1074100453703829
subscale,22,16,120,0.3179912782982768,0.0024997500249975,0.3179912782982766,0.0004012081069648,0.2240682110961738,0.0133033530177509
scale,22,7,21,0.7147927018061996,0.0057994200579942,0.7147927018061992,0.0002714128847608,0.5046582170695795,0.1130090672814982
subscale,24,16,120,0.3086433803913805,0.0026997300269973,0.3086433803913804,0.0006041097862533,0.2312768118587643,0.0153235441854447
scale,24,7,21,0.7100011626987198,0.0074992500749925,0.71000116269872,0.000311376984946,0.4965824102162777,0.1128468467551972
