,IRI_Q1,IRI_Q2,IRI_Q3,IRI_Q4,IRI_Q5,IRI_Q6,IRI_Q7,IRI_Q8,IRI_Q9,IRI_Q10,IRI_Q11,IRI_Q12,IRI_Q13,IRI_Q14,IRI_Q15,IRI_Q16,IRI_Q17,IRI_Q18,IRI_Q19,IRI_Q20,IRI_Q21,IRI_Q22,IRI_Q23,IRI_Q24,IRI_Q25,IRI_Q26,IRI_Q27,IRI_Q28,PANAS_Q1,PANAS_Q2,PANAS_Q3,PANAS_Q4,PANAS_Q5,PANAS_Q6,PANAS_Q7,PANAS_Q8,PANAS_Q9,PANAS_Q10,PANAS_Q11,PANAS_Q12,PANAS_Q13,PANAS_Q14,PANAS_Q15,PANAS_Q16,PANAS_Q17,PANAS_Q18,PANAS_Q19,PANAS_Q20,POM_Q1,POM_Q2,POM_Q3,POM_Q4,POM_Q5,POM_Q6,POM_Q7,BigFive_Q1,BigFive_Q2,BigFive_Q3,BigFive_Q4,BigFive_Q5,BigFive_Q6,BigFive_Q7,BigFive_Q8,BigFive_Q9,BigFive_Q10,SelfConst_Q1,SelfConst_Q2,SelfConst_Q3,SelfConst_Q4,SelfConst_Q5,SelfConst_Q6,SelfConst_Q7,SelfConst_Q8,SelfConst_Q9,SelfConst_Q10,SelfConst_Q11,SelfConst_Q12,SelfConst_Q13,SelfConst_Q14,SelfConst_Q15,SelfConst_Q16,SelfConst_Q17,SelfConst_Q18,SelfConst_Q19,SelfConst_Q20,SelfConst_Q21,SelfConst_Q22,SelfConst_Q23,SelfConst_Q24,LifeSat_Q1,LifeSat_Q2,LifeSat_Q3,LifeSat_Q4,LifeSat_Q5,Lonely_Q1,Lonely_Q2,Lonely_Q3,Lonely_Q4,Lonely_Q5,Lonely_Q6,Lonely_Q7,Lonely_Q8,Lonely_Q9,Lonely_Q10,Lonely_Q11,Lonely_Q12,Lonely_Q13,Lonely_Q14,Lonely_Q15,Lonely_Q16,Lonely_Q17,Lonely_Q18,Lonely_Q19,Lonely_Q20
IRI_Q1,1.0,0.2328824797547002,0.3240722620808951,-0.0633510105160687,-0.03756017713279064,0.17878330548357885,-0.029439720813329677,-0.0686600992375753,0.22296967241490304,-0.026171196129510674,-0.005934221726450667,-0.09603583409454786,0.03640980478146622,-0.18618370202886278,0.17169628818574786,-0.02295365744024444,0.27868038125628564,-0.21477538597718904,0.2010138063264536,0.13586378256160256,-0.07641533391555697,0.04077629791800577,-0.16935411208096074,0.022017002059400742,-0.15950019784171426,0.2847260829044281,0.3127360175159065,-0.1506849315068493,0.2661293527786366,-0.12079742985247521,,,0.07662141663581953,-0.1839218027367766,0.24679184968430512,0.034513551386421516,0.248925070873731,,-0.11704114719613057,,,0.3511234415883918,0.17170275019711573,,,0.23824711279595068,0.20356064242544478,0.23572039901268044,,,,,,,,,-0.33365933178125573,0.020072391147592503,0.22867007133529701,0.24595241919211522,,0.22670278199661634,,-0.22433808401173974,-0.32526920895166683,0.2681749582253684,,-0.07662141663581945,0.342255776850087,-0.19772645464464164,0.143345544770249,-0.01600985086777751,,0.05108094442387969,-0.3344729377972476,-0.01672016388516151,,0.016720163885161506,0.18392180273677664,0.794639736889195,0.3522524587835816,0.03341945582751962,0.12984549463223916,0.13083896315861393,-0.10736519687444451,0.023890924128374826,-0.20899889379280626,,,,,0.2881907916103512,0.12813635504156573,0.31706855988851457,0.28669108954049793,,-0.26280016541212314,,0.19806033270768514,0.12182028832834799,,,0.3446987899653221,0.10728771826311974,,,,,,-0.029569928086515172,,,0.1872880010859424,0.19506857866021762
IRI_Q2,0.2328824797547002,1.0,1.734723475976807e-17,-0.5096488758951381,0.20317144429331113,0.2726077572046489,-0.13460084488849694,-0.06143424181355125,0.28635610763953956,0.05055924464243809,0.03209953975076357,-0.13579097359971665,-0.3610728395266678,-0.2323351093194967,-0.04277109753807683,0.1729392247586495,0.13961202296398406,-0.4361045361403806,0.0010938922339318556,0.49966630205113505,-0.05519860920124196,0.3910914519285872,-0.24265067939461915,0.1313824857245465,0.24058077571350825,0.25476122554456127,0.279823366660163,0.10585567261577276,0.31228409560022324,0.17002267120100764,,,-0.0690770787486893,-0.2002669225861453,0.25801605090227,-0.17002267120100767,0.4318935591158897,,-0.015073854388204487,,,0.5973014801326029,0.10654821579347046,,,0.2588137146300652,0.4573373822284249,0.1533912354722047,,,,,,,,,-0.11884538280385809,0.007755434100663816,0.24161564163830393,0.43974400353374204,,0.8302186931810815,,0.16335511546763481,-0.25896729879042896,0.3749898560643134,,0.12828600339042298,0.7417751196827114,-0.439744003533742,0.17077003915002764,-0.3670227919322646,,0.11841784928346742,0.17077003915002759,0.28424982560614165,,0.03876133985538297,0.03876133985538297,0.38283676175313197,0.7948293230788221,0.03135864262905945,0.6145680440450556,0.5642330213251727,0.14409896447253728,0.05538487756217115,-0.4720861158388751,,,,,0.3624307288248666,0.16375873305865365,0.43529010388422285,0.5446179626946828,,-0.2861552007378842,,0.4227106591791693,0.5086974908765105,,,0.47159661100103123,0.6444072750957419,,,,,,0.40749266133199863,,,0.2393547542769788,0.3165509421522942
IRI_Q3,0.22661158286910396,-0.0711999079613063,0.8324553670824468,0.23773160692002135,-0.09821763174501641,0.09518014361357119,0.23280189771751736,-0.3094106834420005,-0.08620410882438669,-0.07136387162233374,-0.4843660358020507,0.12146377639820857,0.21400917955074739,0.010977027584485467,0.4862533302100557,-0.13352587924301892,0.08672400589297605,0.16780372288031073,0.004632054068631639,-0.010977027584485488,-0.23373686584682588,-0.09898019419759546,0.05216589376015592,0.28950777679568707,-0.5286032049002014,-0.1879690364972303,0.02543353918486964,-0.5603033642367954,-0.06629706612651319,-0.2603762204437545,,,0.032500536843658424,-0.24012158054711244,0.1820935465245827,0.10352307559811928,-0.36969556302225576,,-0.0638297872340425,,,-0.15248226950354615,0.09647772531146281,,,-0.01820288081934962,-0.2562921045467136,0.07442538306427632,,,,,,,,,-0.005686409402392012,-0.2408278004128848,-0.05853638656935545,-0.13237971506168056,,-0.17261128027533615,,-0.13175664167033363,0.2920654534762608,-0.09518014361357116,,-0.013928801504425034,-0.3587242625958468,0.3077170860043038,-0.19978107831210323,0.36185821428756887,,-0.13696654812684628,0.12594894067502152,-0.08814589665653495,,-0.06382978723404258,-0.21580547112462006,-0.013672735524705909,-0.2074734914882405,-0.1275798951253794,-0.3186575595336423,-0.31534125669741314,-0.08320674152426952,-0.09120440531639495,0.29517908423016154,,,,,-0.28865548602863866,-0.29206545347626084,-0.05763904177042346,-0.32138695206729645,,-0.34310228666643816,,-0.3960534142337507,-0.3372912175894389,,,-0.2886554860286387,-0.24113475177304972,,,,,,-0.2454783259279002,,,-0.4268917665878987,-0.21985815602836878
IRI_Q4,-0.0633510105160687,-0.5096488758951381,0.13963157940958376,1.0,-0.264370151343453,-0.16451742565457997,0.21232547462969867,0.10027172426048792,-0.41080053845272624,-0.06483853695480384,-0.252872644728809,0.3152105222206839,0.4289722951631252,0.3357682893017721,0.1783584076169603,-0.280544650061973,-0.22077972873606838,0.6105954270161964,0.05985437272387848,-0.3357682893017721,-0.11194410336315705,-0.3502107820887466,0.04817295755628152,-0.08404219449006572,-0.38806549375666377,-0.2920613143093951,-0.3717662930110299,-0.22625360898595967,-0.16930926657948941,-0.2451187204315463,,,0.10124149271051078,0.08837081977452105,-0.22059115492029027,0.24511872043154637,-0.4933649139138626,,-0.11598670095405886,,,-0.3817895573071105,-0.22859320865441934,,,-0.12432355629948585,-0.3785489167692382,-0.254087691381817,,,,,,,,,0.2566007617557614,-0.1972579214972697,-0.07553664620376419,-0.35206395823006964,,-0.5904118014053991,,-0.1824139314839415,0.31908284855365304,-0.15186223906576612,,-0.19404619436181225,-0.6385978999869599,0.27241147899249735,-0.2249190188099298,0.4107431448506106,,-0.16451742565458,-0.12627032634943422,-0.18778799202085722,,-0.22645022567221015,-0.22645022567221015,-0.33270788439100596,-0.5631807036186545,-0.21605796053063742,-0.4718108690440451,-0.46147881099054733,-0.0018666302304002208,-0.02762163388893875,0.4036106325578026,,,,,-0.42185843207044155,-0.3190828485536531,-0.36100956425964936,-0.505081305397737,,0.12627032634943425,,-0.3925519380313654,-0.4503888550256175,,,-0.5151899435904508,-0.4623358774140959,,,,,,-0.16930926657948941,,,-0.4663812145041639,-0.3995097477306472
IRI_Q5,-0.03756017713279064,0.20317144429331113,0.044577162764223806,-0.264370151343453,1.0,0.2343286114535098,-0.33426591857220367,0.11661365194411419,0.16095366127681962,-0.19319627830274183,0.25908439418394713,-0.26331997459711537,-0.10495136512481702,-0.14964637104546508,-0.053366961483724246,0.44055529748280015,0.0816912189279667,-0.2033650159362526,0.18690418061809327,0.22924550458028692,0.23895394105734422,0.3849910811038203,0.4732806665967494,-0.17697704247433155,0.170792560259322,0.4962270612237369,0.011282745731581167,-0.04333866592245075,0.39707223500701705,-0.11283101305178714,,,-0.0053868646311151375,0.16574694310522634,0.039804519294248344,-0.3421327492538062,0.36553273466663505,,-0.18925714780100308,,,0.3044571508103094,0.015363794399174763,,,0.17987990452658992,0.14470334833468856,0.08111709702780685,,,,,,,,,-0.26610057147017485,0.10795591218749441,0.06594702211572541,0.29802704893616033,,0.19195289545714445,,0.021838260590668485,-0.12265582128489008,0.30435785165800694,,-0.1131241572534185,0.35755035616092035,-0.24716919075592822,0.015116851378922509,-0.3815688116528948,,0.03232118778669102,0.015116851378922512,0.3420734783235522,,0.010579592113099556,0.18690612733142545,0.1993283112567796,0.30609651764766993,0.02114597761871697,0.21909073465511714,0.19851229150394414,-0.07985311570422171,0.015116851378922509,-0.3831653408503145,,,,,0.33729002603425007,0.22660143254327156,0.24330922313667425,0.312414928497732,,-0.015116851378922547,,0.41376017226822664,0.42295794141934584,,,0.27769814864303977,0.35588572358232107,,,,,,0.39707223500701705,,,0.3312075587796567,0.1892571478010031
IRI_Q6,0.17878330548357885,0.2726077572046489,0.19702760155977522,-0.16451742565457997,0.2343286114535098,0.9999999999999999,-0.19325508811395248,-0.18191410441841593,0.22249631695757716,0.3964594046353416,0.02904322636053553,-0.1466722542875486,-0.16405402304801492,-0.08561001895502739,0.060022483545561646,0.09629111081495542,0.601047538321617,-0.14164462107281653,0.14120273462506558,0.20288401752355814,-0.0015486185979114997,0.20012608273541005,0.3354875960021669,0.36830701205527605,0.030024028838453874,-0.04889489116987228,0.22920495696252222,-0.22347913185447366,-0.0045943153868330255,-0.07239256335987604,,,0.011904761904761887,0.06234796863885496,0.48719876576469,-0.1286978904175574,0.14448690781050175,,0.23640271442232497,,,0.32732683535398865,0.5966095625058359,,,0.7371159775491513,0.26004802499023877,0.6014073026769925,,,,,,,,,-0.27459557632390785,-0.051458081713851966,0.6808467616262992,0.2854804908919795,,0.19602412317154533,,-0.028152663528840695,-0.2343100847284877,0.11607142857142858,,0.07142857142857141,0.2816702946463676,-0.06069270278805862,-0.08908708063747482,-0.23879710430417078,,0.03273809523809524,0.18931004635463383,0.25718537063527674,,0.13248943335756683,0.13248943335756683,0.22254029131193823,0.37435244296357284,-0.12461810770353374,0.19669894811736074,0.14164449091187614,-0.10008876069649386,-0.2282856441335292,-0.20232809414893596,,,,,0.22915058369986754,0.11945220005766041,0.2169682590588144,0.25612535683274007,,-0.05011148285857957,,0.21760817155274886,0.2555194289509676,,,0.2949984525791398,0.21367168418940924,,,,,,-0.004594315386833053,,,0.1745949755388324,0.21821789023599233
IRI_Q7,-0.029439720813329677,-0.13460084488849694,0.1766393125221717,0.21232547462969867,-0.33426591857220367,-0.19325508811395248,0.9999999999999998,-0.14108557764909913,-0.2575895416177479,-0.04687042303372438,-0.1509132649008216,0.46328097041744654,0.05651265937582539,-0.003604750659132447,0.2516593091662127,-0.004110808039004099,-0.03552867211010488,0.21769256075822424,-0.24236546484721616,-0.24422185715622055,0.1808845875716866,-0.02835163499074464,-0.11542213777848723,0.06922262460929515,-0.10107668888263854,-0.35426062528159963,0.12675586323215077,-0.22079790609997246,0.007060969021735419,0.03399598590106179,,,-0.0640371889608363,0.053899946762183806,0.0311988394247597,0.35232203570191306,-0.22206085002787296,,0.05589624108670914,,,-0.06637678629046713,-0.07827406683810632,,,-0.29805807691253317,-0.26464361553873017,-0.07998736102051873,,,,,,,,,0.2352876562743551,-0.010784392043799579,-0.16882622819775017,0.07945917490720375,,-0.24242660307958233,,-0.11125959022165674,0.18358519456512057,-0.17838931210518694,,0.16466705732786482,-0.26529305657893376,0.2660154986023776,-0.07701596392614168,0.17585679585370742,,-0.10749099575568952,-0.07701596392614167,-0.24554420191661513,,-0.05389994676218381,-0.20362202110158334,-0.16632504373415224,-0.27252922503420773,-0.10773260969786609,0.017440681443215783,-0.06651711021842537,0.15382566915785528,0.02995065263794397,0.36854108151754794,,,,,-0.20037817429773264,-0.2718473073368132,-0.33345689769247167,-0.3080638557045668,,0.1839825804902274,,-0.2922130544240203,-0.26683862634141525,,,-0.25097872336281657,-0.06637678629046714,,,,,,0.007060969021735447,,,-0.2683337145646274,-0.26550714516186835
IRI_Q8,-0.0686600992375753,-0.06143424181355125,-0.24160230156995588,0.10027172426048792,0.11661365194411419,-0.18191410441841593,-0.14108557764909913,0.9999999999999997,0.2642724044455944,-0.06903943968922749,0.36161749643151786,0.04689520010125681,-0.009604882057614922,0.22831900873846814,-0.20620400634265432,0.16954446383812266,-0.11712670446480944,0.01446577088457393,0.09634538906212792,-0.19513310630555125,0.35320871545830057,-0.055049301256240746,0.11292973881839104,-0.3026649999830179,0.05016759224669061,-0.03557868135121295,-0.10420995974558583,0.4155742848590081,0.007800527177440578,-0.21851164044126092,,,-0.020212678268712838,0.44548756878955903,-0.08042200056007813,-0.00910465168505254,0.15735124256094563,,-0.09262612816416571,,,-0.16981456830097058,-0.05215795965797547,,,-0.09017526684666939,0.00596657342348,-0.08836514953849176,,,,,,,,,0.15678403562906407,0.21974595732879976,-0.10956628583154703,-0.039438128920423775,,-0.05113678927433267,,-0.009104651685052537,-0.12220825911323568,0.09769461163211224,,-0.0875882724977558,0.12132294683934285,-0.08778164179062067,0.15125783390122935,-0.33364764494533294,,-0.18191410441841588,-0.006302409745884557,0.004410768007817412,,-0.004410768007817409,-0.004410768007817414,-0.011214529129324968,-0.07805612819952418,-0.008816030011135671,0.09419617435845092,0.12136000451702336,-0.0163974492323133,-0.006302409745884557,-0.29263307562330715,,,,,0.13267027106144438,-0.007800527177440581,0.16550531937889543,0.1638626533929985,,0.16386265339299852,,0.15923255710601128,0.15326452593609283,,,0.28173799135520206,0.02315653204104138,,,,,,0.13780931346811687,,,0.08361091360871278,0.09262612816416571
IRI_Q9,0.22296967241490304,0.28635610763953956,-0.048452433126670226,-0.41080053845272624,0.16095366127681962,0.22249631695757716,-0.2575895416177479,0.2642724044455944,1.0,0.059997600143990415,0.2190281588512177,-0.25904242273925115,-0.11963984960784717,-0.22264223528764948,-0.01346576308744174,0.14733985376729736,0.06605330104592441,-0.36980404974383324,0.22651828910180555,0.25148190307102375,0.18508416329268546,0.08413188320308654,-0.08519824403709977,-0.021872105287178173,0.08578829179870062,0.14085355621164142,0.18772741187142633,0.23553134410024973,-0.01581748243360504,-0.051429619781222215,,,-0.017565498707177163,-0.07282901530764173,0.16307533480728015,-0.2452797251104443,0.36285488808195254,,-0.0804952274452882,,,0.40024015868629426,0.23498484006444703,,,0.18285247481963604,0.3335782030479072,0.12229883763444392,,,,,,,,,-0.07888193300185295,0.34051883456725396,0.09735649871426716,0.2642342625209122,,0.2794421896603556,,0.0514296197812222,-0.24178151719939117,0.43620988456156573,,-0.017565498707177163,0.4487063398701956,-0.04311772484650868,0.10406312348428935,-0.3633563784080329,,-0.21664115072185142,-0.032862038995038784,0.11882628813352071,,0.07282901530764174,0.07282901530764174,0.26013799405983373,0.3197860586360235,0.036118156960995185,0.3795311069023145,0.31833295827477903,0.07643147532662256,-0.03286203899503875,-0.401732937413281,,,,,0.4002936589140063,0.12879949981649813,0.3603475306833396,0.4710225589288886,,-0.2409882859636175,,0.3978380703218036,0.4232069626173523,,,0.4002936589140063,0.5120390856936391,,,,,,0.09716453494928806,,,0.2708262533876016,0.2593735106570398
IRI_Q10,-0.026171196129510674,0.05055924464243809,0.026919095102908297,-0.06483853695480384,-0.19319627830274183,0.3964594046353416,-0.04687042303372438,-0.06903943968922749,0.059997600143990415,1.0,0.3117761539629812,0.0390374900887485,-0.06956083436402524,-0.04806803557835802,-0.21580611710245276,-0.021926450482675733,0.42864170743763247,0.21825946742799315,-0.10817925007266585,-0.02403401778917902,-3.469446951953614e-18,0.022912649349431352,0.022468790057675492,0.46737137080967206,0.029300451933655963,-0.14314958357846702,0.11792394523726463,0.02617119612951068,-0.18831089428867734,0.0,,,-0.14638501094227996,1.734723475976807e-18,0.2773500981126146,-0.08242255917447339,0.04486515850484714,,0.3726779962499649,,,0.0,0.3230673763230648,,,0.395800408598166,-1.3877787807814457e-17,0.4029386436689807,,,,,,,,,1.3877787807814457e-17,-0.1917412472118426,0.40121041028708926,1.3877787807814457e-17,,0.0941554471443387,,0.08242255917447339,-0.28246634143301597,0.06099375455928331,,0.09759000729485329,0.05108427684025954,-0.1382033638493902,0.11410886614690963,-0.050977961892886614,,0.12198750911856664,0.2282177322938192,1.734723475976807e-18,,0.15971914124998499,0.15971914124998499,-0.03123780011665394,0.05383819020581655,0.09121111529894006,0.12403473458920847,-0.12095201038695055,0.1619375689078239,0.0,-0.1535737792084878,,,,,-0.05397918963594131,0.0941554471443387,0.12888481555661674,0.04564354645876385,,0.22821773229381923,,-0.045046873134777954,0.0,,,0.16193756890782393,0.0,,,,,,-0.09415544714433867,,,-6.938893903907228e-18,0.22360679774997894
