level,matrix_r,pearson_p,mantel_p,rmse,n_pairs,r,slope
item,0.6829702920814118,0.0,0.0001999600079984003,0.2215790507633263,5086,,
item_within,,,,0.13257352769203534,1110,0.8821499227174627,0.9866387411490405
item_between,,,,0.24061858197960564,3976,0.6337117846796771,1.1971357681280947
subscale,0.7595535494611656,2.8186823840199337e-22,0.0001999600079984003,0.30620663425727995,112,,
subscale_within,,,,0.1364946024006506,18,0.8437908174837166,0.9915889433812742
subscale_between,,,,0.3288608051911935,94,0.7656130518703285,1.3299142351796354
scale,0.8543585917870351,1.6301079528012632e-06,0.0015996800639872025,0.2583428093735617,20,,
