scale,subscale_r,subscale_p,subscale_n_pairs,subscale_rmse,subscale_slope,item_r,item_p,item_n_pairs,item_rmse,item_slope
IRI,0.5041860440796777,0.0009094472423687707,40,0.3322684032684477,0.767868369137915,0.42197934724121827,9.476502635186101e-63,1428,0.21668610529915733,0.7565444992738627
PANAS,0.8184237913599459,1.0321566177820242e-07,28,0.3659421550957372,1.5189936323099942,0.7015703204586757,2.5706959476968057e-243,1640,0.24713032139677932,1.3601294188395083
POM,0.8324526831903893,0.00011770045576738293,15,0.5390521959815,1.6898959947157366,0.7156543435992854,3.061987136851864e-103,651,0.3444298166607286,1.4108120197664378
BigFive,0.7489189714854084,4.8506508004190946e-11,55,0.23211884162494978,1.073544064014043,0.5832962476601022,7.047425488243857e-86,930,0.23316178309914684,1.017263166275382
SelfConst,0.7495435344736388,4.422023222660894e-06,28,0.23841264460233672,1.1789134574895732,0.32477221400450423,1.4325924692425357e-49,1968,0.2080573771083819,0.5616770235649136
LifeSat,0.6665994925264871,0.006648922984295339,15,0.6010122061546129,1.0071822785581355,0.6195065509062767,3.714180328019663e-51,470,0.4664865323555787,1.0308159688590068
Lonely,0.8149075080216488,0.00021497894551914372,15,0.3762962493902949,1.7421083655573426,0.6778650801536783,5.582848596471442e-181,1340,0.20543571122219714,1.1795007252224758
