test,controls,r,p,n
zero_order,,0.6776171222727088,0.007748852909770423,14
partial,log_size,0.6907461771500965,0.007231743368011032,14
partial,log_size+mtype,0.5453558956560872,0.0664698573255898,14
partial,log_size+mtype+family,0.4279395511920534,0.19578905186075843,14
