model,abs_within,abs_cross
llama1b_instruct,0.23472666929012542,0.24873525437217292
llama3b_instruct,0.25861010831498427,0.2694491721507326
llama8b_base,0.30190053377868575,0.2884222232362153
llama8b_instruct,0.30393786977420784,0.3010927008914029
qwen05b_instruct,0.3669530313605868,0.31339086371369135
qwen14b_base,0.31821581921433467,0.3039180454715621
qwen14b_instruct,0.29658025764003365,0.3014994922232875
qwen3b_instruct,0.24063449099129264,0.23469454068956153
qwen7b_instruct,0.31270070915114795,0.2955627159683367
