level,layer,n_constructs,n_pairs,mantel_r,mantel_p,pearson_r,pearson_p,slope,intercept
subscale,8,16,120,-0.005090592572457,0.4626537346265373,-0.0050905925724569,0.9559940138490932,-0.0040447537072143,-0.016894289449943
scale,8,7,21,0.2289085394629835,0.1780821917808219,0.2289085394629835,0.3182345831575501,0.1619909437623657,0.0256807885805871
subscale,10,16,120,-0.0007045930975163,0.4394560543945605,-0.0007045930975163,0.9939061020562756,-0.0005501138717019,-0.0196023171930275
scale,10,7,21,0.2528445721695727,0.1628837116288371,0.2528445721695728,0.2688044979275253,0.1673507267097219,0.0228323505579576
subscale,12,16,120,0.0046146420975319,0.4111588841115888,0.0046146420975319,0.9601048398446568,0.0037655120332695,-0.0198588340324807
scale,12,7,21,0.2660423500354331,0.1520847915208479,0.2660423500354331,0.2437506598572533,0.1808021764630072,0.0216008884612299
subscale,14,16,120,0.0074969335304551,0.4003599640035996,0.0074969335304551,0.9352301473516684,0.0061895169268202,-0.0208259275642549
scale,14,7,21,0.2160584852372818,0.1844815518448155,0.2160584852372818,0.3468826686822117,0.1518253555964108,0.0298185578434249
subscale,16,16,120,0.0049086243146765,0.4076592340765923,0.0049086243146764,0.9575655591059414,0.0043878515983302,-0.0232285862879943
scale,16,7,21,0.2085444098375245,0.1905809419058094,0.2085444098375246,0.3643098051491727,0.1594395333534436,0.0340262050537697
subscale,18,16,120,-0.0067973475314562,0.4698530146985301,-0.0067973475314562,0.9412628832998932,-0.0059918115592691,-0.0228177404405112
scale,18,7,21,0.2236334183811044,0.178982101789821,0.2236334183811044,0.3298177194974699,0.1718087254620955,0.0403728323232169
subscale,20,16,120,-0.0125443292773931,0.4990500949905009,-0.0125443292773931,0.891834515992691,-0.0111750069623418,-0.023512759726439
scale,20,7,21,0.3010253482498768,0.1428857114288571,0.3010253482498768,0.1848371648450205,0.2315920843277896,0.0580843062173277
