target,type,split_half_r,spearman_brown_r,n_samples
IRI_Perspective_taking,subscale,0.1251484006643295,0.222456693649292,200
IRI_Fantasy,subscale,0.5920354723930359,0.7437465786933899,200
IRI_Empathic_concern,subscale,0.6341750621795654,0.7761409282684326,200
IRI_Personal_distress,subscale,0.2328853160142898,0.3777890801429748,200
PANAS_Positive_Affect,subscale,-0.1983370929956436,0.01,200
PANAS_Negative_Affect,subscale,0.2947560250759125,0.4553074240684509,200
POM_Peace_of_Mind,subscale,0.0146241337060928,0.0288267023861408,200
BigFive_Extraversion,subscale,-0.0432528778910636,0.01,200
BigFive_Agreeableness,subscale,-0.0612278878688812,0.01,200
BigFive_Conscientiousness,subscale,-0.1554540395736694,0.01,200
BigFive_Neuroticism,subscale,0.3768262863159179,0.5473839044570923,200
BigFive_Openness,subscale,-0.1104758828878402,0.01,200
SelfConst_Independent_self,subscale,0.0005480973049998,0.01,200
SelfConst_Interdependent_self,subscale,0.2802753746509552,0.437836080789566,200
LifeSat_Life_Satisfaction,subscale,0.1998288333415985,0.3330955505371094,200
Lonely_Loneliness,subscale,0.0527766048908233,0.100261740386486,200
IRI,scale,0.7658833265304565,0.867422342300415,200
PANAS,scale,0.2329710125923156,0.3779018819332123,200
POM,scale,0.1817072331905365,0.3075334131717682,200
BigFive,scale,-0.3189039826393127,0.01,200
SelfConst,scale,0.3518214225769043,0.5205146670341492,200
LifeSat,scale,0.2592049241065979,0.411696195602417,200
Lonely,scale,-0.0217996798455715,0.01,200
