layer,feature,cv_r,cv_p,cv_r2,best_alpha,n_profiles
24,BigFive_Extraversion,0.9997651325047596,0.0,0.9995286028452727,0.1,243
24,BigFive_Agreeableness,0.9987458940035613,2.0025664e-315,0.997493343827487,0.1,243
24,BigFive_Conscientiousness,0.9946626424592093,9.769535501357047e-240,0.9893072817631484,0.1,243
24,BigFive_Neuroticism,0.9912757833108923,4.141203709770057e-214,0.9825687883784542,0.1,243
24,BigFive_Openness,0.9966341966958087,8.167615282715132e-264,0.9932669263593344,0.1,243
