target,type,split_half_r,spearman_brown_r,n_samples
IRI_Perspective_taking,subscale,0.3437492251396179,0.5116270184516907,200
IRI_Fantasy,subscale,0.0579256527125835,0.1095079779624939,200
IRI_Empathic_concern,subscale,-0.1276117265224456,0.01,200
IRI_Personal_distress,subscale,-0.2667559683322906,0.01,200
PANAS_Positive_Affect,subscale,0.3486228585243225,0.5170057415962219,200
PANAS_Negative_Affect,subscale,-0.2257080525159835,0.01,200
POM_Peace_of_Mind,subscale,-0.287299633026123,0.01,200
BigFive_Extraversion,subscale,-0.2195091545581817,0.01,200
BigFive_Agreeableness,subscale,-0.2071057856082916,0.01,200
BigFive_Conscientiousness,subscale,-0.1175995394587516,0.01,200
BigFive_Neuroticism,subscale,0.0207324028015136,0.0406226031482219,200
BigFive_Openness,subscale,-0.1377009451389312,0.01,200
SelfConst_Independent_self,subscale,0.1221019253134727,0.2176307290792465,200
SelfConst_Interdependent_self,subscale,0.2387995570898056,0.3855338096618652,200
LifeSat_Life_Satisfaction,subscale,-0.2617909610271454,0.01,200
Lonely_Loneliness,subscale,0.1736470758914947,0.2959102094173431,200
IRI,scale,-0.2269691824913025,0.01,200
PANAS,scale,0.1098686456680297,0.1979849487543106,200
POM,scale,-0.0942441076040268,0.01,200
BigFive,scale,-0.3250267207622528,0.01,200
SelfConst,scale,-0.0117034604772925,0.01,200
LifeSat,scale,0.081132099032402,0.1500873118638992,200
Lonely,scale,0.0797899067401886,0.1477878391742706,200
