label,IRI_Q1,IRI_Q2,IRI_Q3,IRI_Q4,IRI_Q5,IRI_Q6,IRI_Q7,IRI_Q8,IRI_Q9,IRI_Q10,IRI_Q11,IRI_Q12,IRI_Q13,IRI_Q14,IRI_Q15,IRI_Q16,IRI_Q17,IRI_Q18,IRI_Q19,IRI_Q20,IRI_Q21,IRI_Q22,IRI_Q23,IRI_Q24,IRI_Q25,IRI_Q26,IRI_Q27,IRI_Q28,PANAS_Q1,PANAS_Q2,PANAS_Q3,PANAS_Q4,PANAS_Q5,PANAS_Q6,PANAS_Q7,PANAS_Q8,PANAS_Q9,PANAS_Q10,PANAS_Q11,PANAS_Q12,PANAS_Q13,PANAS_Q14,PANAS_Q15,PANAS_Q16,PANAS_Q17,PANAS_Q18,PANAS_Q19,PANAS_Q20,POM_Q1,POM_Q2,POM_Q3,POM_Q4,POM_Q5,POM_Q6,POM_Q7,BigFive_Q1,BigFive_Q2,BigFive_Q3,BigFive_Q4,BigFive_Q5,BigFive_Q6,BigFive_Q7,BigFive_Q8,BigFive_Q9,BigFive_Q10,SelfConst_Q1,SelfConst_Q2,SelfConst_Q3,SelfConst_Q4,SelfConst_Q5,SelfConst_Q6,SelfConst_Q7,SelfConst_Q8,SelfConst_Q9,SelfConst_Q10,SelfConst_Q11,SelfConst_Q12,SelfConst_Q13,SelfConst_Q14,SelfConst_Q15,SelfConst_Q16,SelfConst_Q17,SelfConst_Q18,SelfConst_Q19,SelfConst_Q20,SelfConst_Q21,SelfConst_Q22,SelfConst_Q23,SelfConst_Q24,LifeSat_Q1,LifeSat_Q2,LifeSat_Q3,LifeSat_Q4,LifeSat_Q5,Lonely_Q1,Lonely_Q2,Lonely_Q3,Lonely_Q4,Lonely_Q5,Lonely_Q6,Lonely_Q7,Lonely_Q8,Lonely_Q9,Lonely_Q10,Lonely_Q11,Lonely_Q12,Lonely_Q13,Lonely_Q14,Lonely_Q15,Lonely_Q16,Lonely_Q17,Lonely_Q18,Lonely_Q19,Lonely_Q20
IRI_Q1,1.0,0.1629306245812791,0.0495545475267048,-0.0556673422938798,0.2574063591238653,0.22360354840983,-0.1945684012318745,-0.1340795177315799,0.0954020655612338,0.2180160518657795,0.0241463462823097,-0.1181319828435795,-0.0716599580322676,-0.1005448593053449,0.1181887052559012,0.1971978288557304,0.1990156799342056,-0.0358606844136391,-0.0963124239800578,0.2891167163629341,-0.0039680992269869,0.1780871501817695,0.1211315394988112,0.1071729078051158,0.0314052131456248,0.234637199479663,0.1493053853649166,0.0219179824518475,0.3696900571556437,0.4260111992601302,0.4123140764505577,0.4298154188750331,0.2822070713114974,0.4388905451757743,0.3929320419604288,-0.1531891220476974,0.4489888803143444,0.5166287061126846,0.3489475988105963,0.1588329331432597,0.4813461436454559,0.4119403214429834,0.3713306490822204,0.3044871687872618,0.3142341276439503,0.3468980499631828,0.2574955931567979,0.3994827600905224,0.4873631975581028,0.5805256334193292,0.5910269629607422,0.5561442004150877,0.4515190438890029,0.5156265027296243,0.5593145723529768,0.5025996987555352,-0.089082849935635,0.1871934077303751,0.3063172325678465,0.2268495517907878,-0.1631882562235007,0.2661751088331531,-0.1321167420518866,0.210994974255096,-0.1496655779299816,0.3140387405511237,0.2540557718554457,0.3182809033881387,0.488984361989709,0.2249477900610242,0.3207400763445615,0.3820359194269986,0.2658865306925874,0.3620458621464928,0.4492903161683843,0.2867330885901752,0.2604930471296978,0.3311135903080864,0.2634408123113877,0.4336111717231912,0.3207611933890711,-0.0290536921886187,0.4527465371058669,0.3617895136035911,0.2349199113491442,0.1355191868117099,0.3842374712693223,0.3208708081476563,0.1186384010424889,0.5172030882353246,0.4762370342259046,0.1299170018536251,0.3304050697910722,0.3934146644689804,0.3097665942114014,0.3643668924272655,0.3137002917452217,0.2970311097779058,0.2321207772499209,0.3909701361237107,0.1947071528543395,0.1383632131379615,0.5733859740541747,0.459561080472426,0.2183717374646247,0.164834969954968,0.364743655769327,0.1925718372074599,0.4914980841632956,0.3313278839051617,0.1955067749165271,0.1542457558309517,0.5059471036373338,0.5584890897548803
IRI_Q2,0.1629306245812791,1.0,-0.1243677723064711,-0.4091052462836276,0.3126269023546147,0.19402856302205,-0.2038623544177101,0.04364206885488,0.4313571299765021,0.1588517548246531,0.1742516782971677,-0.1780248457786501,-0.2254421377888885,-0.3509848458366795,-0.112207590431801,0.1866480467079444,0.1346549750157294,-0.4339872419792718,-0.0791459013151322,0.4393728559789366,0.1131132741751063,0.4300544205061042,0.1380577723787997,0.0971145751545771,0.3624868366599705,0.0551759298731606,0.3290042956196934,0.1771184244438058,0.2322004449664001,0.4503470458757935,0.205176225812497,0.2871561538806547,0.2464234869627996,0.2229966966854704,0.3285005622059821,-0.1312391189475878,0.3268192126443724,0.3172488678349321,0.1703348496388803,-0.117009461041838,0.280394567225396,0.3141043567044449,0.1423552484346682,0.1596553307028357,0.2459775258317615,0.2406899135790829,0.2401581194745276,0.2042391963878314,0.305223285355028,0.3200656568819419,0.2745374891781494,0.2973786983609747,0.2005187658719397,0.3485668761612249,0.2310098591370668,0.5200618256169298,-0.0339959632190373,0.3369514154594683,0.2051610037102755,0.2607617056946643,-0.1141350950556911,0.2872771414376783,-0.1075072233025662,0.3703356377999079,-0.1538614669855744,0.1664039606328976,0.4105228457503786,0.4204037927080957,0.431923387647229,0.2951356423940121,0.3243553743216113,0.3554568534050756,0.3985666913335815,0.2639512505989564,0.488722871887175,0.3367398989367096,0.1193031085614688,0.1450936140043542,0.3446132139018573,0.357470758483796,0.3002814155660597,0.029166397557829,0.4746353975998896,0.2399062921234515,0.1317680120242342,0.1613435652009278,0.3760644910444237,0.1271000284164387,0.1326082729320108,0.3151869872352835,0.3991645648360301,0.1490971278205306,0.2514168444113588,0.3531771892182831,0.4280349582593811,0.2362677940710666,0.3173850354589214,0.2675371320813414,0.3789757822366116,0.4463779192043965,0.1947457982240591,0.1799470821684874,0.3988642332975196,0.4990414502565739,0.2060265548985028,0.2638185490477525,0.2476574071862001,0.1750653801410879,0.4760388124976853,0.454052988740953,0.1885618083164127,0.1984401248223889,0.431543789619402,0.4113663633437274
IRI_Q3,0.0495545475267048,-0.1243677723064711,1.0,0.2037935271060543,-0.1069208249372183,-0.0620824981136425,0.1465110599137689,-0.3158662889508513,-0.1184955030607518,-0.0060821913780938,-0.3060922479831222,0.1345467306207535,-0.0539982970504138,0.0241315006455984,0.2181371029708643,-0.0086329345442062,0.0600246943029394,0.1297059475448143,-0.0162697511301666,-0.123051145068463,-0.2007347214658403,-0.0828440152465092,-0.0640694188287326,0.1590093547863582,-0.2892397778382832,-0.0752032440468383,-0.0124983289887177,-0.3073232524434461,-0.1203993240895052,0.0088775085992841,0.0203355187022681,0.1423037516794929,-0.1451967454006386,0.0865339674220483,0.0707900632624911,0.1005366005118711,-0.0844728723799776,0.0818251055466707,0.1441932023171858,0.1880225711022607,0.016389324022297,-0.05474358266218,-0.0445407372466999,-0.1087844144884028,-0.1177928957486193,-0.0611375261691707,-0.1594056923022237,0.0273453307238954,0.0310361602699726,0.0023464283117888,0.0412454551048175,0.0010916271029088,-0.0080527006095319,0.0202975846583017,-0.0170251961393287,-0.0293995139607336,0.1454467703426805,-0.068756636894602,0.0874922081754726,-0.0256741395841407,0.1003015869795405,-0.1223828371713805,0.0052738375516319,0.0722627185031352,0.0167019287983214,-0.0573746203475685,-0.0775553886718523,-0.0725247523382133,-0.1320083625998213,-0.0742541047001845,-0.1422290246774004,-0.0742485937502159,-0.1513798098590739,-0.0521090210938685,-0.0506976573220794,-0.1204796819252197,0.171013428008698,-0.0357195145043729,-0.1250615319366781,-0.1006277181026579,-0.0505997514309926,0.2469361255814732,-0.0767123885288174,-0.1793715869127745,0.053385003670436,-0.0973770409603023,-0.0353437985384394,-0.0636858211131636,-0.0325259302566883,-0.0300138978868952,-0.0255990566889448,-0.0423941282005299,-0.0188873008404371,-0.0398885719187481,-0.0946372481167329,0.0427616248028565,0.0142416398462502,0.1232312184392597,-0.1762704387211789,-0.1303963236444292,0.213927545794957,0.1317808069538869,-0.0436937184426188,-0.0874628176334154,0.1762909132578165,0.063152054884302,0.078998404172841,0.1956825151078036,-0.0660539231127018,-0.1112610173103988,0.1308217613935094,0.1765665129568334,-0.0535511372404563,-0.0396010541728756
IRI_Q4,-0.0556673422938798,-0.4091052462836276,0.2037935271060543,1.0,-0.1992286547796675,-0.0779135705531323,0.1442313037240863,-0.175986794585353,-0.369768641352265,-0.0697552910174694,-0.1839944554456734,0.181730765747708,0.1744838447858174,0.3459425679945995,0.1736703125142834,-0.161421971705357,-0.1077809805335068,0.4657896632145917,-0.0799076150047423,-0.2761623941048929,-0.1892161559940388,-0.2877933448370404,-0.0782073780534736,-0.0010154138652087,-0.2662693175753867,-0.0877201842164327,-0.2939968274203516,-0.2643459498845611,-0.0979354239472877,-0.2804577829211524,-0.0363628838704397,-0.0666250634827967,-0.1148784371679361,-0.0564085569685851,-0.079270547993477,-0.0062280565482221,-0.0716031107887301,-0.1337742818479974,-0.0987238086431513,0.0822668407814461,-0.1541947736412413,-0.0838621463569679,-0.1012099431102796,-0.0836665442723433,-0.1012863514461465,-0.1185126656190568,-0.1274549832996475,-0.1140607207360074,-0.1349544268370186,-0.1556282781452189,-0.1273374724914417,-0.0919523932748079,-0.0324472402105946,-0.1391836351406792,-0.157750987539951,-0.3462976063085918,-0.0175612261634786,-0.1163379254542884,-0.1357223073524773,-0.0394960542652146,0.034948915248686,-0.174840714393379,0.0590830145028949,-0.2214107915188232,0.0888408312036812,-0.0680139666245125,-0.1961933226025083,-0.1841440052964491,-0.2177309191384372,-0.1435963900992435,-0.1844614409270283,-0.2371162761108896,-0.2212952573817318,-0.0978441624168867,-0.2546240569474928,-0.1452379181344081,0.0417746920916652,-0.0167204472398494,-0.2260920630301889,-0.2186964724074028,-0.1383711137472099,-0.0098199634032679,-0.2396252873626832,-0.1093302484076471,-0.0315825592767304,-0.097427591005926,-0.1983347333675162,0.0034278131316608,-0.1174949185220545,-0.1526073241534125,-0.2597601537356726,-0.1089489758170977,-0.1289470047333975,-0.238311967628543,-0.1621213427175823,0.0923194644952524,-0.0465230346179868,-0.045163403897447,-0.1635144012389692,-0.1473869485643172,-0.0206047054513332,0.0041064414252238,-0.1307405535634488,-0.1581914525150539,-0.0259014431828235,-0.0411922867646495,0.0187087762216346,0.0312339463966463,-0.1070532320386082,-0.1712131265211475,0.0,0.0591560313420179,-0.1302287246062499,-0.1148793878240114
IRI_Q5,0.2574063591238653,0.3126269023546147,-0.1069208249372183,-0.1992286547796675,1.0,0.2851662937041197,-0.4826296819158512,-0.0155427229476934,0.163747171405758,0.1902385121016869,0.1308622489953813,-0.4444076308591782,-0.2083347080126207,-0.1166462260892572,-0.0645744827510085,0.3902810629924361,0.1798070758649685,-0.1771594816766668,-0.0791800914490894,0.358008458518658,0.064878854698566,0.2790152548241578,0.4110853675010374,0.0860259739104264,0.2491614260630685,0.4189070389956434,0.1902438874283977,0.156364087514855,0.1950044337844173,0.3403138164291472,0.2505313127133238,0.2549713570745153,0.1327452892963689,0.2781963093233908,0.2904265435311607,-0.057840267029954,0.2817100222875646,0.3874060032120064,0.2306227463551419,-0.0560920175202013,0.3110722424728049,0.2507022741157736,0.1798306234314297,0.0987257906949106,0.1956217675754274,0.3456118558154829,0.1859446889130967,0.2428921269216604,0.2647387868002385,0.345907316916952,0.3215058630123185,0.203839858975842,0.2498791370896846,0.3427013037111804,0.3026394834369876,0.388230415680654,0.0054483078640181,0.2502368798957774,0.2933495660557811,0.2198235670375106,-0.1436727986045084,0.3291089336363528,-0.129292225959051,0.167599808052506,-0.1495055933267284,0.1569251568747225,0.3009068237130847,0.263503605766741,0.2881391235010133,0.1778572148923713,0.2646371004135429,0.4345730683107766,0.2758478368544889,0.2502460877956899,0.4063608197081098,0.2906697809445974,0.090385071845262,0.1011957118014169,0.2799293028688511,0.4249993160912088,0.3207101736111069,-0.0060942163041517,0.3424321092897952,0.2474529741360034,0.0956714721480812,0.1364540259888268,0.461439673095638,0.1543142405227893,0.0667426020981717,0.2935332526842484,0.3557380133132968,0.1391667872953803,0.2289253371299766,0.3391295552660635,0.3440195860265264,0.2777769893174084,0.2962190336916849,0.2459836383026127,0.344687308322119,0.3911202169126461,0.1205864834525263,0.2237201612702655,0.4109308311287449,0.3937281488436105,0.2227248678366996,0.1815294665816215,0.2916436570549144,0.1564366270799445,0.348321187795038,0.3228255984956149,0.2490823691676538,0.1660207936729799,0.288910627074354,0.3066076916412004
IRI_Q6,0.22360354840983,0.19402856302205,-0.0620824981136425,-0.0779135705531323,0.2851662937041197,0.9999999999999996,-0.2544133877131385,-0.1187835798964962,0.059775654477179,0.450716133365998,0.0113468357487497,-0.1303531729300953,-0.109047119005336,-0.0179533427122177,-0.0445303249019993,0.1951410593774399,0.4586603399323843,-0.1416535622716827,-0.2904878123626755,0.1857609505695657,0.007832636620925,0.193044007566154,0.1643113994288264,0.3436835924069406,0.1603676117501768,0.1344247383708329,0.2610621024520778,0.0049489936408231,0.1877022946918329,0.2952765376016508,0.3467969842439793,0.3403834205455847,0.1850598299193713,0.4003442336619504,0.5434008773242576,-0.0914700654068972,0.2435407188009268,0.2541786050700759,0.4579367009937828,-0.0067718271632808,0.3801372006218939,0.2619899142437499,0.372936312067945,0.1518695921318117,0.1687791952979355,0.7097089018728475,0.1556916597378134,0.5185785216501868,0.2535584456152853,0.2782403651348479,0.2662591118696312,0.1954439239804912,0.4321485303975594,0.2462110580565573,0.5126283718438699,0.1697655800453468,-0.1166026364862531,0.1373602250771172,0.4818336159209005,0.0960005741926424,-0.1357101432885822,0.1047828242085993,-0.0775869675067462,0.1463594696157967,-0.1198505222874049,0.1175023213905835,0.2261831110047201,0.1847447537257625,0.1724215106139383,0.1278975675792153,0.1858250736013353,0.1616161716825595,0.2103142329244068,0.2321347384943073,0.2311436297812578,0.2249673708061517,-0.0035239756114384,0.074257367715988,0.1081740193798833,0.3096716310203662,0.1916810900468293,-0.0366116805680386,0.1376652186278537,0.1146300633028188,-0.0452734830742525,0.1906242450660561,0.257036134691521,0.1196040367968186,0.1194510005623194,0.2046674133041086,0.1838673526573172,0.0929483190846868,0.1906908241278788,0.257730281786994,0.1815184937578423,0.1850218654624338,0.2341339389804822,0.1099049524490917,0.1499449807526033,0.2143304365920482,0.0436741729181463,0.0791281889500557,0.2490371188067716,0.2238128513179053,0.0217430697535491,0.0643137704682161,0.2072902229185535,0.0656909282391959,0.270099149805926,0.1872564059096896,0.0939718579840911,0.0774988367443489,0.2006858280577413,0.2263465168692138
IRI_Q7,-0.1945684012318745,-0.2038623544177101,0.1465110599137689,0.1442313037240863,-0.4826296819158512,-0.2544133877131385,0.9999999999999996,0.0713643309610673,-0.1057966429204328,-0.1867922909911915,-0.0864423561078434,0.4448128083037581,0.2019491985963793,0.1082800089123015,0.1007631280884473,-0.373348675743869,-0.1384863913491485,0.1797160748952083,0.0953366085928164,-0.3259934962131676,-0.0320830726468089,-0.1480468733561398,-0.3536477458152105,-0.1372908937319799,-0.2573153910788736,-0.3864543756370851,-0.1714714803912407,-0.0571517142890144,-0.1464192365212116,-0.2642345867517519,-0.1649102761471404,-0.1787930091779376,-0.1495202377752875,-0.218732123033784,-0.2535663519992839,0.0943820942545301,-0.2117507087845853,-0.214504586067674,-0.1391003308481076,0.2967321876974755,-0.1991456182363837,-0.1991677699000885,-0.1143890026493639,-0.0980780577600558,-0.1404222316704702,-0.2761831562982809,-0.1850266183901566,-0.2114693939537076,-0.2201020162797786,-0.2343548710812328,-0.2392874979115996,-0.0793299757928009,-0.2310379806826147,-0.2179430125874689,-0.2974572932004363,-0.2369761950656239,0.1133221284999024,-0.2432857800885711,-0.1959679100954751,-0.1957083178052598,0.1024681462383799,-0.2884994119931044,0.1001599593243508,-0.1069805080991426,0.1172073175152782,-0.1523592459209829,-0.2405196835035525,-0.1391018415007821,-0.2845218561256222,-0.1733298802433396,-0.1432196019204262,-0.2029253630897182,-0.1727278079444252,-0.1627211768593655,-0.2906267545734958,-0.1780846345968609,0.0411185026329706,-0.1093539934599128,-0.2010403959156727,-0.2782221968241646,-0.2207513501954012,0.1609815029237011,-0.2118136050410061,-0.1345685457248852,-0.0458037631012351,-0.1238436986824774,-0.2616870036255961,-0.1691625028299772,-0.0918447647804005,-0.1689794438665002,-0.2308421472356313,-0.1672982470209038,-0.1987379673111913,-0.1561227327913923,-0.2047123551442479,-0.1782344339042916,-0.2123565323829582,-0.1088559459319765,-0.1459599800075391,-0.2372618659189281,-0.0701004547968475,-0.1556741919281373,-0.2694397555024786,-0.2097640607146024,-0.0097219543342895,-0.1482348036281162,-0.1822710410192928,-0.1097931332571547,-0.2047164351623799,-0.235344749829793,-0.1939270671355402,-0.1034879083698424,-0.1724350105463599,-0.2133098128870965
IRI_Q8,-0.1340795177315799,0.04364206885488,-0.3158662889508513,-0.175986794585353,-0.0155427229476934,-0.1187835798964962,0.0713643309610673,1.0,0.0952890221363239,-0.0656487802555534,0.326909198212449,-0.081941987916576,0.144515418957388,-0.0329975993898684,-0.1979642691796495,0.0589365852614711,-0.090136588743195,-0.1242295198399592,0.1463661601620996,0.0513958612089603,0.4273967399168034,-0.0406819493042423,0.0406154916101168,-0.1893929871301887,0.1883221334945759,0.0373454704160014,0.0015212777719725,0.2945340792829959,0.2350413652944871,0.0215721339296454,0.0119140045176172,-0.1173309358399353,0.2746368066320179,0.0290279274811046,-0.0388118976112126,-0.1212541282446389,0.1543200558923781,0.0189135147699565,-0.0373044169748124,0.0705580367501772,0.0847484471363895,0.1195909729074836,0.0410237358672147,0.2700564000200329,0.2580623401576746,0.0125773598632507,0.2171864390181425,-0.0172891435083786,0.0678122689619184,0.0564944926378456,0.0365683431983782,0.0570548958983972,-0.0166708756242934,-0.0399671103449682,-0.0477005789891783,0.0239822187170997,-0.2316391433227617,0.1516860275770699,-0.1469054781541903,-0.0017122189368757,-0.1655480469179997,-0.0462549983629784,-0.0661401355026353,0.0195590511479485,-0.0637492623724102,0.0956644471758454,0.276335902484477,0.1321232619629849,0.0490033145057583,0.3231183846973755,0.3152284024027268,0.1622261173463352,0.3860622861775404,0.1973609470314197,0.0264610253649252,0.2510393408153559,-0.1017354925081301,0.0451583753517459,0.3550079426654743,0.2194841932114145,0.2965679787165897,-0.1919823715070364,0.1209575774363263,0.3136716807476545,-0.1168904504820215,0.1846212074493907,0.0688802394407911,0.0226589386912067,0.2304775643566025,0.0633298966105483,0.033741377336858,0.0209680951019108,0.0321003281730589,0.213489062926953,0.1856561674078981,-0.1041670091593566,0.0941461403384935,-0.1068538293202099,0.3017991762298548,0.1929991914324839,0.017706478198527,0.0917497223760751,-0.0317865635601548,0.0189105436708584,-0.0242415872654305,-0.0214864846951655,0.0453085503883809,-0.1510565457975485,0.0103650282502609,0.198199452593476,0.0457179301219198,0.056915312683085,-0.0310738642001946,0.0002105366257814
IRI_Q9,0.0954020655612338,0.4313571299765021,-0.1184955030607518,-0.369768641352265,0.163747171405758,0.059775654477179,-0.1057966429204328,0.0952890221363239,1.0,0.1378062781287998,0.2821814342128279,-0.0424331098289656,-0.255485964344383,-0.2701882104201707,-0.0167009512429305,0.1347012023556569,0.1328978509266155,-0.3579126713574131,-0.0513156283354671,0.2128404564722087,0.1487602205582273,0.285036408509602,0.02744303808117,0.0552602633964573,0.2505555706418908,0.0105533092788084,0.3356993080171683,0.274833964252224,0.1524186513378444,0.3302574091896311,0.1876795863132689,0.2026975580899476,0.1382195814380084,0.1863362705365828,0.1547179894189975,-0.0975386356626533,0.2430268700883003,0.2255406848502437,0.1568589064736126,-0.0765053857306833,0.1597474568639288,0.2438117087383642,0.1156886293114823,0.128127674117979,0.1461608544475989,0.1293110405267189,0.1752114450015546,0.1392923133137968,0.1878656932893536,0.2098541378658496,0.1551760131494667,0.1540996524973046,0.0795713281544612,0.1861166573717346,0.1628933072837586,0.3510433516048844,-0.0069699989097304,0.1630602972272281,0.1744065677308455,0.1943868406310871,-0.079921602284344,0.2732713451159206,-0.0377121916509492,0.2151896308929952,-0.0363489488179109,0.1744492728704052,0.2644472085888645,0.3563174728394368,0.2713187121434057,0.289609057730069,0.2487300288911782,0.2985015473283533,0.3370492502569459,0.3084534584351179,0.4253507232463667,0.3060235501123339,0.1202122325397839,0.0934506480232695,0.2414781085774459,0.2204829223174983,0.2429758596626779,-0.0203964610583531,0.3326263499467203,0.1440701506593512,0.0912188201512192,0.1582595695561344,0.2977391561300541,0.142320022433443,0.096203408131136,0.259848524500941,0.3249626157879919,0.1149500299164016,0.1545134176005775,0.1883434858190362,0.2402020442715107,0.170433293874566,0.1833361930278641,0.075808908526565,0.1782314650967956,0.2440488666364239,0.0913728294476091,0.0368935264002509,0.2466917013295536,0.3010528859500208,0.0012997062248613,0.1858449987204462,0.1497683752254857,0.0644227209397953,0.3117178808793029,0.2916168546345535,0.0505550638209201,0.0022278645215241,0.2994605064087008,0.2800575732023003
IRI_Q10,0.2180160518657795,0.1588517548246531,-0.0060821913780938,-0.0697552910174694,0.1902385121016869,0.450716133365998,-0.1867922909911915,-0.0656487802555534,0.1378062781287998,1.0,0.1419409889828869,-0.024403994687874,-0.0967467811717677,-0.1270340314250123,-0.0313929332924791,0.1263014640676426,0.4457570431058012,-0.1215114365577587,-0.280639759378776,0.2258464994326972,0.0267738706738576,0.1389261874237494,0.103375685433004,0.3496725989103386,0.158799448423872,0.1313367757635398,0.3016129201961846,0.0663876754353464,0.0763338877949227,0.4213429167769039,0.2757465941297436,0.4772286499234169,0.0831514627147232,0.5049403345439685,0.500943831557177,-0.0053677199299735,0.1136427808739342,0.2842676530478166,0.4360652894711546,-0.0348434764706877,0.4520862779973084,0.1625142906540806,0.3223802027665005,0.0773561028692466,0.0482595322342967,0.551197874848103,0.1067858586350364,0.5137891870173732,0.2184254030603374,0.2069610304541508,0.2348481177301838,0.1383471041972923,0.281048172890552,0.2048500472826974,0.4809031435224764,0.1681540838124412,-0.0347907151447061,0.2425303331849014,0.5395405762158232,0.202349601905057,-0.0664269256273586,0.2221000189523241,-0.0145605373871646,0.1637147851768736,-0.0378180004408112,0.1040510791700133,0.2339501124488689,0.184567608735967,0.1487120689135194,0.2520234527677029,0.1228162171741291,0.2030771107022059,0.1966610414653867,0.1836667291837316,0.2328452111600855,0.1459773736152737,0.0605922497197689,0.1610304535349924,0.2000490653120605,0.2332967993411044,0.1971359185022258,0.0054377588665872,0.2228951080561619,0.1998689117503308,0.0713039438081737,-0.0102460876179998,0.1392238597550841,0.0917283227562144,-0.0861080917947972,0.1327050554854323,0.1363288528780725,0.0995437457869589,0.1874049693692878,0.234551663228519,0.2709393189321635,0.1736377075636283,0.2968720576543823,0.2273515203808869,0.2293870241868114,0.3135923038130619,0.1382887778809154,0.2409450663507388,0.2127576817746787,0.2213208030646926,0.0398737119326229,0.1729019179188994,0.2325791830150232,0.1531577710220133,0.2597343278673704,0.2870730758545912,0.2082850519945074,0.1698531876527532,0.2306717490185147,0.227599233063809
