label,IRI_Perspective_taking,IRI_Fantasy,IRI_Empathic_concern,IRI_Personal_distress,PANAS_Positive_Affect,PANAS_Negative_Affect,POM_Peace_of_Mind,BigFive_Extraversion,BigFive_Agreeableness,BigFive_Conscientiousness,BigFive_Neuroticism,BigFive_Openness,SelfConst_Independent_self,SelfConst_Interdependent_self,LifeSat_Life_Satisfaction,Lonely_Loneliness
IRI_Perspective_taking,0.9997443942779471,0.2397262089212318,0.3884836143960265,0.074048761251331,0.2011674561436465,0.0822582204875284,0.087637756506749,0.2901681315141574,0.2420968097301042,0.2048958014204323,-0.0540316382197093,0.1321811484738374,0.1793463905306006,0.4090287586213449,0.2243390755507083,-0.3428676023285963
IRI_Fantasy,0.2431509333610249,0.9985350270316912,0.3715996881223549,0.3308957665144542,0.365415924214666,0.4421599068678942,0.2887284338679314,0.4458254777282343,0.2723930899176223,0.3046949899220796,0.1216223069679662,0.2538240941117942,0.4545616475078669,0.5260817482680508,0.5083405663146575,-0.1939847058564697
IRI_Empathic_concern,0.3862874999055046,0.3707893034279014,0.9940552200189168,0.378262330556589,0.2776825904008461,0.3552562982435987,0.3076902277900153,0.501674753281603,0.1988472053454988,0.271556131582634,-0.0162203849596473,0.286701694509169,0.434947052438063,0.5344300492684296,0.4760579866439446,-0.3018052689888144
IRI_Personal_distress,0.0733134082384633,0.332125716088252,0.3778975788223269,1.0,0.1657975587850145,0.6158127299072518,0.0667914247164896,0.2606801980514909,0.1167055942176055,0.1803622502513874,0.4740319050747902,0.2015643200442489,0.2740838125270297,0.3263019698743669,0.3136626587345554,-0.1341049162422443
PANAS_Positive_Affect,0.4236661745582782,0.612319727860011,0.3301934808185093,-0.1078183027889238,1.0,-0.1171372929837251,0.450760143087583,0.7065682928819634,0.3310955369084681,0.6152918464187195,-0.0381125039288967,0.6888347996945965,0.7265429900113674,0.7466084973874465,0.7603394544367589,-0.4692103919058195
PANAS_Negative_Affect,-0.0131326577540479,0.203280701086291,0.079324157566278,0.7649294410627011,-0.1155486587886431,0.9999027964852882,-0.5078258387799924,0.0518580711535516,-0.1810642965043568,-0.3449623554342108,0.6377083571290614,0.0261905379380965,0.1015077155021804,0.3074407178966482,-0.2439007851210141,0.7397432435177378
POM_Peace_of_Mind,0.710242756525609,0.6957676232658628,0.481973399010661,-0.4635557156979668,0.8351825472071658,-0.8467904610100927,0.9998007435762852,0.1611646598713737,0.4242966519234906,0.6909495654101616,-0.9216995708717136,0.5437191731879802,0.7443238092337063,0.6908027758043437,0.9284315206680944,-0.825019178346977
BigFive_Extraversion,0.5137645308807977,0.5662614518918307,0.0968252861595591,-0.1477679466944739,0.7082800383463941,0.0244798218671241,-0.049480205518915,1.0,-0.094957837611524,-0.0749633428742371,0.0135266836131741,0.3740288876851926,0.5784088928194095,0.5106000649662803,0.6022207481773743,-0.1850823805117473
BigFive_Agreeableness,-0.055892909833484,0.0120171043169401,0.4499624971078152,-0.0684062622969,-0.0853982648155819,-0.1180677993961415,0.2251202636706573,-0.094957837611524,1.0,0.0102069144256357,-0.1604544666739748,-0.0460326662733118,-0.0550979538130953,-0.1100882255796391,-0.1058048397760259,-0.121277773051726
BigFive_Conscientiousness,0.0578193264096119,0.162629760227949,0.1713553077101185,-0.29172944128094,0.0394056284625912,-0.3338690969290232,0.2727766398219479,-0.0749633428742371,0.0102069144256357,1.0,-0.2594539542198636,0.0546263542895829,0.1121005641649395,0.1268008747935629,0.1241265390690941,-0.2941328222714163
BigFive_Neuroticism,0.0399520139155341,0.074532461117149,-0.0473987247812212,0.7171440004257191,-0.0686106472774564,0.6398131723808971,-0.9344659965777612,0.0135266836131741,-0.1604544666739748,-0.2594539542198636,1.0,-0.0445387805619516,0.0550713838717816,0.0801391965917711,-0.0856139878514239,0.5018000300395561
BigFive_Openness,0.5174542857869476,0.5685783625601452,0.1454283112995286,-0.1046423162316273,0.4903750152245806,-0.1004909506267533,-0.0226600982917838,0.3740288876851926,-0.0460326662733118,0.0546263542895829,-0.0445387805619516,1.0,0.430182612044353,0.30025578673528,0.3919241512683166,-0.185427314196393
SelfConst_Independent_self,0.1101164956809253,0.237195589874138,-0.1198892792694785,0.1312743926074296,0.6351624368960928,0.0342893130810359,0.2874384031257109,0.5881434442001052,-0.002370561097624,0.3246318229354856,-0.3168211603313577,0.2908636494372266,0.9941555436003324,-0.0487859894791837,0.341835198470528,-0.2837846654812609
SelfConst_Interdependent_self,-0.130618984485154,0.0658847165690976,-0.4289105212124785,0.298328401353035,0.2218189739419444,0.4632717037919853,0.0895361579296159,0.169598896248192,0.0527076235610483,0.2712816623896272,-0.3097100690006074,0.1990648626333139,-0.0466925810317117,1.0,0.3374509187337682,-0.0853863963510527
LifeSat_Life_Satisfaction,0.8535293540244229,0.8591659653095276,0.6087060710691194,0.5515699177158477,0.9320635346858192,0.3291197379355516,0.9020375672652284,0.1394362731284027,-0.5155898765885075,0.8230187457118847,-0.2526983813681195,0.7109457648241833,0.6524504821997839,0.8343096893827343,1.0,-0.7450925776104513
Lonely_Loneliness,-0.647676578532479,-0.4527502754609411,-0.2571420715887547,0.4697805050770112,-0.6699107285685809,0.5238236098105449,-0.5139417355266542,-0.5092983698318314,-0.6158655601081287,-0.6437653187568544,0.5634902562131774,-0.7052698668877189,-0.6077899002220934,-0.6196446663297975,-0.6194935590816328,0.9999657351830544
