items_per_subscale,alpha_target,seed,recovered_slope,recovered_mantel_r,recovered_pearson,recovered_slope_vs_human,recovered_mantel_r_vs_human,n_pairs
3,0.6,0,1.4274483223411707,0.987898849753892,0.987898849753892,1.3533808247191386,0.9675273098742413,120
3,0.6,1,1.3972635901621853,0.9868023860225926,0.9868023860225926,1.418247548958094,0.9627725625458352,120
3,0.6,2,1.4073053747472624,0.9876700851412481,0.9876700851412481,1.45596187867804,0.9759001741168339,120
3,0.6,3,1.387662298754332,0.9855273204143631,0.9855273204143631,1.4215802020881076,0.9720230949087774,120
3,0.6,4,1.4489041795333546,0.9833183907726549,0.9833183907726549,1.446566067853325,0.9538272929282193,120
3,0.6,5,1.4418178178878949,0.9864660948009409,0.9864660948009409,1.4946571528952783,0.9746746855697456,120
3,0.6,6,1.5046700856450295,0.9821696490939172,0.9821696490939172,1.5446705466096622,0.9675331222949443,120
3,0.6,7,1.4512116829701664,0.9831207134812173,0.9831207134812173,1.562767438861098,0.9665647409009808,120
3,0.6,8,1.453678593527193,0.9849224987044088,0.9849224987044088,1.5063924122191725,0.9702119746666561,120
3,0.6,9,1.4325556771490149,0.9814457042481619,0.9814457042481619,1.3658913739612877,0.9671623854388398,120
3,0.6,10,1.4414315114693914,0.9883882532140157,0.9883882532140157,1.5898126746928483,0.9489259024124667,120
3,0.6,11,1.493716222487082,0.9889026510678222,0.9889026510678222,1.4986087548585065,0.9627742072414686,120
3,0.6,12,1.4437148800614696,0.9830242055717732,0.9830242055717732,1.3564312700784622,0.9610292665703285,120
3,0.6,13,1.4163491434150668,0.9866068914151033,0.9866068914151033,1.433173576518376,0.972398128784077,120
3,0.6,14,1.4123532503801906,0.9858317524422866,0.9858317524422866,1.3459693222799838,0.9632162544849768,120
3,0.6,15,1.4602170012007423,0.9849096498958537,0.9849096498958537,1.511124574565918,0.9575082831141712,120
3,0.6,16,1.3962483926954572,0.9867986036984246,0.9867986036984246,1.4333287519291555,0.9788323961445159,120
3,0.6,17,1.3932350170037753,0.9847243022487816,0.9847243022487816,1.4058454826457194,0.9627166449198279,120
3,0.6,18,1.384814057948714,0.9861434925277789,0.9861434925277789,1.2581498960051607,0.9545281192184698,120
3,0.6,19,1.4108513263016929,0.9845561278092544,0.9845561278092544,1.4030402409505855,0.9671028159563991,120
3,0.75,0,1.402739705383621,0.9934245195989467,0.9934245195989467,1.3295283950331667,0.972627467834805,120
3,0.75,1,1.3626436408852691,0.9929501282244828,0.9929501282244828,1.38471363982406,0.9698954622179856,120
3,0.75,2,1.3810635630768195,0.9932896738777323,0.9932896738777323,1.4281157419533281,0.980974001425656,120
3,0.75,3,1.369918908326497,0.9921901118430657,0.9921901118430657,1.400790257241681,0.9767726375359017,120
3,0.75,4,1.3991293030510707,0.9913948362639579,0.9913948362639579,1.3962171270882544,0.96121100896975,120
3,0.75,5,1.400283532414495,0.9927670682073003,0.9927670682073003,1.4505196673886587,0.9801698278811839,120
3,0.75,6,1.434405648762358,0.9906667847914259,0.9906667847914259,1.4717379817229699,0.9753733081016698,120
3,0.75,7,1.4028872586532921,0.9914528108075852,0.9914528108075852,1.510290585844613,0.9744741142139133,120
3,0.75,8,1.4094082813223856,0.9918814386851932,0.9918814386851932,1.4595251030588363,0.9764035761591802,120
3,0.75,9,1.388320279228908,0.9909326034235069,0.9909326034235069,1.3205533186284835,0.9741792126882124,120
