level,matrix_r,pearson_p,mantel_p,rmse,n_pairs,r,slope
item,0.6079167346829035,0.0,0.0001999600079984003,0.24957955155980735,6441,,
item_within,,,,0.1324476054996074,1110,0.8823564395759906,0.9868735313641221
item_between,,,,0.2675950668663182,5331,0.5563401866717124,1.1574387250166025
subscale,0.728985844120652,3.762232675347124e-21,0.0001999600079984003,0.3338342065460278,120,,
subscale_within,,,,0.13648680413877232,18,0.8440069858817492,0.9932918933361006
subscale_between,,,,0.357525779086362,102,0.7357166450175479,1.338471021824088
scale,0.8323806673491945,2.8674107778497374e-06,0.001999600079984003,0.2820294903855863,21,,
