level,layer,n_constructs,n_pairs,mantel_r,mantel_p,pearson_r,pearson_p,slope,intercept
subscale,16,16,120,0.0717216967007287,0.2033796620337966,0.0717216967007287,0.4363028932397681,0.0485839830312205,0.0049819299754457
scale,16,7,21,0.2718708880852084,0.1506849315068493,0.2718708880852084,0.2331829471662212,0.1618915624710306,0.1133532637322168
subscale,20,16,120,0.1128543363875586,0.1185881411858814,0.1128543363875586,0.2197315128891381,0.0768883487857477,0.0011926620779445
scale,20,7,21,0.2175939361977666,0.2235776422357764,0.2175939361977666,0.3433825900948274,0.1246707885560537,0.1270813848674357
subscale,24,16,120,0.1341631560578215,0.0833916608339166,0.1341631560578216,0.144039017694952,0.1029537381601632,-0.0027093187378645
scale,24,7,21,0.1058846443258241,0.3737626237376262,0.1058846443258242,0.6478144842690848,0.0643545610093679,0.1228676517339125
subscale,28,16,120,0.1214795404083045,0.1016898310168983,0.1214795404083044,0.1862635212149516,0.095665239697269,-0.0011560852676915
scale,28,7,21,0.1558797456022944,0.2954704529547045,0.1558797456022945,0.4998453581582038,0.0890494310180588,0.1428558228004346
subscale,32,16,120,0.119520296240362,0.1032896710328967,0.119520296240362,0.193518271267146,0.0989868274061101,0.0047326574448266
scale,32,7,21,0.2693103564740211,0.1360863913608639,0.2693103564740211,0.2377880574458859,0.1480098738096958,0.1416350466536523
subscale,36,16,120,0.1067387595405015,0.123987601239876,0.1067387595405015,0.2459086882095769,0.0928452344918925,0.0009998483105883
scale,36,7,21,0.2588537859390671,0.1328867113288671,0.2588537859390672,0.2572031037863909,0.1336292897228009,0.1285049938949784
