iteration,item_r,item_slope,item_intercept,item_rmse,subscale_r,subscale_slope,subscale_intercept,subscale_rmse,scale_r,scale_slope,scale_intercept,scale_rmse,item_within_r,item_within_slope,item_within_intercept,item_between_r,item_between_slope,item_between_intercept,subscale_within_r,subscale_within_slope,subscale_within_intercept,subscale_between_r,subscale_between_slope,subscale_between_intercept
0,0.7584118284191264,0.7192868576472004,0.014533253255988818,0.12910075917617123,0.8899536983659107,0.8798445436079206,0.02397182889746204,0.12456010720913724,0.9332489133848907,0.8995961451034568,0.01540515436938698,0.08680561813416457,0.8792850894896621,0.8618200796604086,0.008065118438700553,0.6930049355549424,0.6476398397895768,0.015107437809327417,0.8196992202675768,1.0661257932801653,0.028498426523220946,0.9018532976448125,0.8632734435338698,0.021609595494554573
1,0.7686779712194086,0.833238577013898,0.008566430162019746,0.12673595595583417,0.9013921742858928,0.9340701451487085,0.016297299879979354,0.11822903845193757,0.9848357687268497,0.947269520416371,0.007390844133532126,0.04200346449727536,0.8841160613552862,0.9621955767902024,0.010758535974621635,0.7064908558780052,0.7638898072877721,0.007828616940781926,0.8106568464596584,0.9312953353673332,0.025718959517623447,0.9117288852920407,0.9335531225980184,0.014682606050781529
2,0.7734948469569365,0.7177069146459097,0.010274048900122809,0.12458982457999741,0.8995535322552282,0.8273267977264759,0.010039411945323568,0.1192664736775674,0.9769532136164536,0.8885650653665962,0.004918090106709248,0.05392684427168203,0.880260078903642,0.8210889340497949,0.016216565913873375,0.714763344581411,0.6601450960716999,0.008848015514231231,0.8634614148707549,0.7470356290983464,0.017622825995347854,0.903355178458124,0.8365534808397596,0.009489565341660495
3,0.7566087896247374,0.8602270556575135,-0.0075765428500762354,0.1318920823492531,0.873419265201332,1.0403318626829037,-0.020941579945187652,0.14083340107322748,0.9765735829327026,1.0587830939222136,-0.01850880516431495,0.056371089427970644,0.8684748159575317,0.9460364879898779,-0.007163149755481055,0.6960295437965055,0.8100402548317882,-0.007529174477107248,0.7831413121890272,0.9538832871890662,-0.029832278120554924,0.8835908153403469,1.0520804032421474,-0.018467441511542223
4,0.7458264828226486,0.8950205530016738,-0.014805475009604831,0.13801249142300143,0.8863832757234602,1.1919829834760463,-0.04863436045026112,0.15120775455641935,0.980714415956079,1.1202705940458038,-0.05056106190130561,0.07238147136371043,0.8864247739814485,0.9758517726743822,-0.007186157039538719,0.6728951594908157,0.8429529826156639,-0.015916248989379357,0.7917388792583324,0.915626663150928,0.0153256025152792,0.9002386169604878,1.2282236912041973,-0.0584829594901036
5,0.7710835870757583,0.7169698685632135,0.013486410519840045,0.1264434732865999,0.9026028288660927,0.7826098956245706,0.02504955712110684,0.12361612999486515,0.9517328588288644,0.8478681223271153,0.021217373388780568,0.08055441627095228,0.8730232662052202,0.8353786312792313,0.011495469891804042,0.7156150050235687,0.6562192777781817,0.013363307445577817,0.7584966182515489,0.59870916389351,0.03397971477678564,0.9195201016190088,0.8066166792709486,0.025232104498149947
6,0.75573146235941,0.743949096746687,0.009666399379869819,0.12963562899304545,0.8951523467711999,0.8977141811085506,-0.00206464813504617,0.12096598373457856,0.9534193150665142,1.0411294532844826,0.009308900906415684,0.07425645174214311,0.8825810911438586,0.8550260511158707,0.006335244659938071,0.6880681929029386,0.6841764537581257,0.009979847361531059,0.9260132164930818,0.8822353289937496,-0.04045740228964312,0.8945340543290937,0.9059518413652355,0.004694956322474352
7,0.7620611257908774,0.7560254196234094,0.00035811130213841947,0.12814579644518773,0.8828226949890374,0.9253228425400153,-0.01983282985583325,0.13094478996965506,0.9766284041386606,0.9345637000423133,-0.023452757893099255,0.056436899967740886,0.8747380516629054,0.8714731196351898,0.011455682637963151,0.7014212278843411,0.6916304303185465,-0.001811078334769715,0.8898587061176345,1.0206546260835354,0.022458718231020778,0.8849683501805503,0.9147604536398379,-0.02784023528294212
8,0.7665742582407337,0.7068324367754839,0.01180366729891793,0.12759457047113987,0.8934791287400994,0.7840334949612566,0.015540012964172054,0.12660407915561273,0.9539265707881884,0.8047662919668439,-0.001993182752936986,0.08071600311188126,0.8781581389420301,0.871721989440644,0.017307370754165458,0.7076280101938912,0.6260381896766992,0.010169670020320475,0.8140777303899537,0.6831341950956119,0.052446377968269335,0.9033204000558572,0.7941490696347934,0.009781124640234812
9,0.7649259845365397,0.8726165058084612,0.010818942331698181,0.12910880008575068,0.8814891497157326,0.985133662186587,0.010276545682765096,0.13164706641583693,0.9788930368899257,1.120130470533224,0.007871399615435313,0.05688789344993824,0.8869700578295123,1.0066823056088199,0.01678090679769707,0.699299096948454,0.7985237445490091,0.009342850541301012,0.835999758900999,1.0153721526437762,0.03534313610651857,0.8871199906251674,0.9805108277102652,0.005705118284960896
