model,size,family,mtype,itemlevel_layer,reliability_proxy,snr_proxy,model_hidden_dim,nearest_grid_hdim,interpolation,observed_slope_itemlevel,pipeline_baseline_slope,pipeline_baseline_std,adjusted_slope,beh_subscale_slope,repr_mantel_r_contrastive
qwen05b_instruct,0.5,qwen,instruct,8,0.135,0.15606936416184972,896,896,interpolated,1.47,1.3627434678162378,0.05416296256406869,0.10725653218376219,0.5237408084453102,0.1002220410789455
llama1b_instruct,1.0,llama,instruct,8,0.176,0.2135922330097087,2048,2048,interpolated,1.44,1.353691175452912,0.07237460776853441,0.08630882454708799,0.5265469331839582,-0.0057370184994762
qwen3b_instruct,3.0,qwen,instruct,14,0.064,0.06837606837606838,2048,2048,clipped_low,1.384,1.4753744130940736,0.05134468758325143,-0.09137441309407368,0.6391429499018904,0.0321514472828273
llama3b_instruct,3.0,llama,instruct,14,0.212,0.26903553299492383,3072,2048,interpolated,1.628,1.3166883181454452,0.07876963103458376,0.3113116818545547,0.8463926276860161,-0.0525024820393697
qwen7b_instruct,7.0,qwen,instruct,18,0.255,0.3422818791946309,3584,4096,interpolated,1.653,1.2658370907091292,0.06606536830412696,0.3871629092908708,1.410602668747495,0.4200886908030926
llama8b_instruct,8.0,llama,instruct,16,0.199,0.24843945068664172,4096,4096,interpolated,1.697,1.3217572096832755,0.06778045777365407,0.3752427903167246,1.354916463196288,0.3683505638887989
llama8b_base,8.0,llama,base,14,0.121,0.13765642775881684,4096,4096,interpolated,1.634,1.4539343819095258,0.06847497542844828,0.18006561809047406,0.9982203123534076,-0.0606525733479076
qwen14b_instruct,14.0,qwen,instruct,32,0.58,1.3809523809523807,5120,5120,interpolated,1.769,1.109578814284743,0.06109695705527552,0.659421185715257,1.532788837728074,0.6598967881659276
qwen14b_base,14.0,qwen,base,28,0.234,0.30548302872062666,5120,5120,interpolated,1.698,1.3157977352312245,0.05409423477169312,0.3822022647687755,1.2777261039495602,0.1341631560578215
