target,R2,intercept,Extraversion,Extraversion_beta,Agreeableness,Agreeableness_beta,Conscientiousness,Conscientiousness_beta,Neuroticism,Neuroticism_beta,Openness,Openness_beta,model
IRI_Perspective_taking,0.1668052870566018,1.7178130511463896,0.025573192239858693,0.16839606879127011,0.02645502645502629,0.17420282978407287,0.029100529100528977,0.19162311276248056,0.029982363315696522,0.19742987375528298,0.027336860670193867,0.18000959077687553,0.5B
IRI_Fantasy,0.02732251048625134,2.038800705467377,0.0052910052910051806,0.045795745128403446,0.0070546737213402705,0.06106099350453819,0.010582010582010477,0.0915914902568079,0.01058201058201047,0.09159149025680785,0.007936507936507825,0.06869361769260564,0.5B
IRI_Empathic_concern,0.14223103333029508,2.4562022339800174,0.01704879482657246,0.15985059715594974,0.01587301587301575,0.14882641804174643,0.017636684303350837,0.1653626867130516,0.019400352733685927,0.18189895538435683,0.019694297472075094,0.18465500016290756,0.5B
IRI_Personal_distress,0.2346708443408264,1.5731922398589113,0.03909465020576117,0.21390341612662564,0.03850676072898286,0.21068682340291728,0.03497942386831267,0.19138726706066528,0.045561434450323235,0.24928593608742125,0.039094650205761215,0.21390341612662592,0.5B
PANAS_Positive_Affect,0.006264916467781267,0.9938271604938228,0.000617283950617359,0.029916351161630536,0.0006172839506173607,0.02991635116163062,0.0006172839506173614,0.02991635116163065,0.0012345679012346453,0.05983270232325755,7.743483210171436e-17,3.752839559460341e-15,0.5B
PANAS_Negative_Affect,0.11378928933542265,0.8345679012345643,0.010493827160493874,0.14134638265407046,0.009876543209876597,0.1330318895567723,0.013580246913580302,0.1829188481405617,0.011728395061728448,0.15797536884866697,0.009876543209876592,0.13303188955677225,0.5B
POM_Peace_of_Mind,0.06341846594463862,2.1405055849500245,0.013815402704291617,0.107316751605922,0.014403292181070025,0.1118834218870254,0.015579071134626761,0.12101676244923153,0.012933568489124121,0.10046674618426782,0.015579071134626763,0.12101676244923155,0.5B
SelfConst_Independent_self,0.2629597511287306,-0.24279835390946486,0.07921810699588466,0.23325623657479908,0.07716049382716038,0.22719763302740167,0.07716049382716048,0.22719763302740198,0.07818930041152261,0.23022693480110065,0.07767489711934152,0.22871228391425125,0.5B
SelfConst_Interdependent_self,0.2978300759800462,-0.74691358024691,0.11419753086419722,0.25224189380175793,0.09825102880658414,0.21701892664926029,0.10751028806584349,0.23747097209264634,0.11574074074074063,0.25565056804232267,0.1157407407407406,0.25565056804232267,0.5B
LifeSat_Life_Satisfaction,0.33516688491640534,-0.427160493827158,0.10740740740740715,0.2940039396558805,0.06543209876543198,0.17910584829611123,0.08271604938271597,0.2264168270913106,0.09999999999999991,0.27372780588650986,0.10987654320987637,0.3007626509123378,0.5B
Lonely_Loneliness,0.09800498753117282,2.4666666666666712,-0.00493827160493836,-0.0858265686422531,-0.008641975308642082,-0.1501964951239421,-0.008024691358024793,-0.13946817404366055,-0.008333333333333439,-0.14483233458380135,-0.009567901234568002,-0.16628897674436416,0.5B
IRI_Perspective_taking,0.024254914394419624,4.052910052910031,0.0026455026455030188,0.04626164183630519,-0.0011757789535563588,-0.020560729705015116,0.0041152263374489495,0.07196255396758251,-0.004409171075837368,-0.07710273639382456,0.005878894767784034,0.10280364852511474,3B
IRI_Fantasy,0.0481992601926754,4.116990005878876,-0.0020576131687239526,-0.03865024856001571,0.0026455026455029884,0.04969317672003454,-0.0002939447383888509,-0.005521464079996887,-0.010875955320399436,-0.20429417096010932,0.0026455026455029823,0.04969317672003443,3B
IRI_Empathic_concern,0.0926526236125127,3.5802469135802353,0.0011757789535569243,0.017398980449620446,0.006172839506173049,0.09134464736049545,0.004115226337448751,0.060896431573664395,-0.005878894767783463,-0.08699490224808508,-0.01822457378012915,-0.2696841969690699,3B
IRI_Personal_distress,0.49278847772765666,1.7566137566137585,-0.00911228689006479,-0.03115778790392623,0.05996472663139326,0.2050383462064794,-0.02439741328630224,-0.08342246438793062,0.194591416813639,0.6653695352386737,-0.002939447383891903,-0.010050899323847293,3B
PANAS_Positive_Affect,0.5003842053437619,3.6707818930041185,0.047325102880658255,0.3177252240095267,0.03744855967078181,0.2514173511727563,0.02921810699588475,0.19616079047544754,-0.00020576131687250718,-0.0013814140174332617,0.08127572016460893,0.5456585368859276,3B
PANAS_Negative_Affect,0.5270765373377314,1.8423868312757201,0.026337448559670743,0.07886966546697072,0.034156378600823004,0.10228409740247768,-0.006995884773662583,-0.020949754889664222,0.23827160493827163,0.7135240047715019,0.009670781893004066,0.028959955288653205,3B
POM_Peace_of_Mind,0.16618211920529813,4.500293944738385,0.018518518518518566,0.14040504321049335,-0.03762492651381536,-0.285267389380049,-0.01322751322751317,-0.10028931657892314,-0.029982363315696613,-0.22732245091222647,0.0076425631981187885,0.05794493846782277,3B
SelfConst_Independent_self,0.3091658981453017,5.827846364883409,0.046982167352537435,0.43854878098404304,0.035493827160493596,0.3313124002324704,-0.0010288065843623625,-0.009603257977754904,-0.003086419753086647,-0.0288097739332606,0.00840192043895724,0.07842660681831257,3B
SelfConst_Interdependent_self,0.17348351107429794,4.831275720164612,0.0366941015089161,0.1923420614471227,0.03686556927297651,0.1932408561267825,0.04166666666666652,0.2184071071572474,0.013888888888888729,0.07280236905241523,0.04098079561042505,0.21481192843860938,3B
LifeSat_Life_Satisfaction,0.2101316675079925,5.625514403292182,0.01893004115226325,0.14917463202449333,0.01893004115226328,0.14917463202449358,0.03127572016460897,0.2464624355187291,0.02345679012345671,0.18484682663904667,0.03374485596707812,0.2659199962175763,3B
Lonely_Loneliness,0.29827054876292247,2.2006172839506157,0.013580246913580256,0.10032673982896918,-0.00997942386831279,-0.07372495275310634,-0.004835390946502037,-0.03572239978758734,0.07181069958847737,0.5305156393986399,0.0009259259259259431,0.006840459533793476,3B
IRI_Perspective_taking,0.6854195852489098,2.9676660787771825,-0.0035273368606701964,-0.03264181448268352,0.07877718988830111,0.7290005234465994,0.007936507936507978,0.07344408258603827,0.022339800117577958,0.20673149172366276,0.034979423868312834,0.32369799361994545,14B
IRI_Fantasy,0.6103102560067584,2.607289829512054,0.014991181657848164,0.12710921028653355,0.06466784244562014,0.5483142404517185,0.005584950029394381,0.04735441167537496,0.024397413286302044,0.20686400889769294,0.05878894767783645,0.4984674913197437,14B
IRI_Empathic_concern,0.8440741084479918,2.3662551440329196,-0.008230452674897193,-0.03893442914899294,0.1919459141681365,0.9080065083675777,-0.008818342151675498,-0.041715459802492125,0.018812463256907705,0.08899298091198307,0.019400352733686066,0.09177401156548252,14B
IRI_Personal_distress,0.8140591408935324,1.8953556731334527,-0.009406231628453885,-0.03710845645415807,-0.0011757789535567964,-0.004638557056769997,0.0055849500293944625,0.022033146019656225,0.228395061728395,0.9010397082775219,-0.004409171075837824,-0.01739458896288685,14B
PANAS_Positive_Affect,0.789473934249699,1.233333333333334,0.1304526748971192,0.43698857755397824,0.11563786008230449,0.38736211448791164,0.09691358024691357,0.32463977922385484,0.05288065843621396,0.1771389028886001,0.16666666666666657,0.5582977094932533,14B
PANAS_Negative_Affect,0.7127689822807894,0.6189300411522669,0.006378600823045172,0.015960408389458863,0.06481481481481452,0.16217834331224498,0.04197530864197517,0.10502978424031117,0.32736625514403284,0.8191293466977234,0.025925925925925776,0.06487133732489792,14B
POM_Peace_of_Mind,0.13007259571234053,3.531452087007628,0.0017636684303353174,0.014620179333737568,-0.01263962375073467,-0.1047779518917712,-0.007642563198118546,-0.06335411044618648,0.040858318636096645,0.33870082123154654,0.001469723691946111,0.012183482778114749,14B
SelfConst_Independent_self,0.7893998826247511,1.294924554183821,0.2234224965706442,0.5469556281832123,0.17729766803840874,0.4340384647286591,0.1430041152263373,0.3500851833498079,0.0653292181069957,0.1599310010267105,0.1601508916323729,0.3920618240392332,14B
SelfConst_Interdependent_self,0.7361458459876491,2.9046639231824405,0.02314814814814802,0.11714578431657476,0.15397805212620044,0.7792364023428505,0.05795610425240053,0.293298334066685,0.030692729766803855,0.1553266325382741,0.01406035665294921,0.07115521714043821,14B
LifeSat_Life_Satisfaction,0.35629325259515576,2.463374485596698,0.06872427983539102,0.24316858776044822,0.058024691358024946,0.20531000523487017,0.10082304526748988,0.3567443353371847,0.06543209876543235,0.23151979313719387,0.07695473251028825,0.2722905743185861,14B
Lonely_Loneliness,0.27018351838688026,2.484979423868312,-0.03446502057613167,-0.4105338722830883,-0.005761316872427991,-0.06862655775478503,0.010390946502057598,0.12377289880773694,0.023148148148148136,0.27573170526476076,-0.0062757201646090775,-0.07475392898289103,14B
