target,R2,intercept,Extraversion,Extraversion_beta,Agreeableness,Agreeableness_beta,Conscientiousness,Conscientiousness_beta,Neuroticism,Neuroticism_beta,Openness,Openness_beta,model
IRI_Perspective_taking,0.13965295878095185,2.4284561906433377,0.05720510473881677,0.14863835471670142,0.1572915073174745,0.32663431575967516,0.02459876461190238,0.05511204400074998,-0.002882081756423178,-0.006654341005385905,0.04302752047127366,0.09372876314374443,Human
IRI_Fantasy,0.09231764136489895,3.1534207226701754,0.04957088993903496,0.10400502072059643,0.07176110006880447,0.12033088401368713,-0.07906542702416852,-0.1430379664970658,0.10369182769488527,0.19331910268669653,-0.038314855942506054,-0.06739462294485253,Human
IRI_Empathic_concern,0.3076368827818211,1.252184082617443,0.07508365583841958,0.15819224821964184,0.3105978719288802,0.522996393791916,-0.02634955105320174,-0.04786853380205194,0.11796113189481566,0.2208418472364695,0.024130008297661557,0.04262140097558806,Human
IRI_Personal_distress,0.4419930124541327,2.1202684071521567,0.004105308116963164,0.009485992403106703,0.18005865378037209,0.3325151550536296,-0.10219869127802529,-0.20361954676449534,0.2454303190251744,0.5039272905916024,-0.07994549199585657,-0.15486791661418167,Human
PANAS_Positive_Affect,0.33934956910990266,2.0206953927591402,0.08555378922235442,0.21166684661313753,-0.0460953835773493,-0.09114470721097641,0.14629176447720274,0.31208334045012404,-0.07418546770599943,-0.16309290990428651,0.14090577779936553,0.2922623377116536,Human
PANAS_Negative_Affect,0.40122481412856204,2.0517273434695014,-0.06075100319128043,-0.13905059364911612,0.010404491757255158,0.019032712810478858,-0.08259392032487665,-0.16300637565702536,0.273829740593486,0.556932626256033,-0.015710294250719264,-0.03014631096110507,Human
POM_Peace_of_Mind,0.30131253888110543,4.609754993249635,0.05525881932529721,0.089500368868784,-0.0032542228840216863,-0.004212413045937936,0.05455768218393167,0.07619320686381624,-0.34995236736455965,-0.5036569273420735,0.06076640188684227,0.08251201769229384,Human
SelfConst_Independent_self,0.25130716865197134,3.5892336862393917,0.14575963160447722,0.3077098262033546,-0.07245708281943314,-0.12224901780448444,0.08439953446926646,0.15363185398561727,-0.0682687413867937,-0.1280644684468458,0.11631268512380152,0.20585510733851822,Human
SelfConst_Interdependent_self,0.2322681388525336,3.2071058730627637,0.11270110547001229,0.2121546298700849,0.3006128054942221,0.45226423496691864,0.023725919308603363,0.03851097414142315,0.04717301935199659,0.07890793251244288,-0.09936007474424594,-0.15680745606938445,Human
LifeSat_Life_Satisfaction,0.1423595415886615,4.512427391981593,0.1259820172751831,0.13492835442835605,-0.11138701662962873,-0.0953431877423539,0.17147212828720737,0.15835264479384506,-0.2696918236010616,-0.2566640823283629,0.06800333044870457,0.06105979053657859,Human
Lonely_Loneliness,0.3200488228709433,3.526749329401089,-0.1622211142632952,-0.4460080130762554,-0.06334783287801292,-0.1391962303696101,-0.06610838344536481,-0.15672162862369385,0.07063961045080792,0.1725783168196473,-0.04666158148679347,-0.10755366083584654,Human
