level,layer,n_constructs,n_pairs,mantel_r,mantel_p,pearson_r,pearson_p,slope,intercept
subscale,8,16,120,0.2401975754805168,0.0095990400959904,0.2401975754805168,0.0082297561347298,0.1676764434125206,0.0192587904471662
scale,8,7,21,0.4454893734473056,0.0538946105389461,0.4454893734473056,0.0429816912305377,0.3784204139220523,0.0636222687962882
subscale,10,16,120,0.2669788169319413,0.005999400059994,0.2669788169319413,0.0032015338462155,0.1947745957546637,0.0216527883140492
scale,10,7,21,0.4681174674795451,0.0695930406959304,0.468117467479545,0.0323431133460207,0.433903134942649,0.0938542979564129
subscale,12,16,120,0.2693338560642167,0.0057994200579942,0.2693338560642168,0.0029327879220543,0.2112279466638427,0.0235652132310709
scale,12,7,21,0.506545235904305,0.0641935806419358,0.506545235904305,0.0191146647059962,0.5106246588049271,0.100927602721654
subscale,14,16,120,0.3004254082065079,0.0025997400259974,0.300425408206508,0.0008563400222625,0.2364324434818105,0.0206297921014418
scale,14,7,21,0.5048251175721551,0.0663933606639336,0.5048251175721552,0.0195943317381131,0.5155823119645119,0.0990543433892313
subscale,16,16,120,0.2938214781946043,0.0035996400359964,0.2938214781946042,0.0011252902312068,0.2471539463722251,0.0203091054741298
scale,16,7,21,0.5008675640916899,0.0692930706929307,0.5008675640916899,0.0207345881592652,0.5364259044441978,0.0977674862000635
subscale,18,16,120,0.3031282289484819,0.0032996700329967,0.303128228948482,0.0007643501022577,0.2653104771583103,0.0208408794769319
scale,18,7,21,0.5429665989742518,0.0624937506249375,0.5429665989742518,0.0109752372672728,0.6174970159538803,0.1094713982061654
subscale,20,16,120,0.4200886908030926,9.999000099990002e-05,0.4200886908030926,1.783061736057728e-06,0.3837264607900413,0.0208957123871687
scale,20,7,21,0.6165037413497951,0.0370962903709629,0.6165037413497954,0.0029170102753069,0.7440092202015759,0.1085651448164135
