model,size,mtype,family,layer,n_pairs,slope_continuous,slope_discrete,delta_cont_to_discrete,mantel_continuous,mantel_discrete,elapsed_sec
qwen05b_instruct,0.5,instruct,qwen,8,120,1.4700710840597715,0.5400317466186382,0.9300393374411333,0.7336763711692855,0.8634183548170419,17.733797788619995
llama1b_instruct,1.0,instruct,llama,8,120,1.4399431564746819,0.4727716952730944,0.9671714612015875,0.8134412947875839,0.6737872814451342,27.372520446777344
qwen3b_instruct,3.0,instruct,qwen,14,120,1.3835349641130719,0.5037198764044738,0.8798150877085981,0.8076964496721025,0.7019949331450769,27.577169179916382
llama3b_instruct,3.0,instruct,llama,14,120,1.6283763352009697,0.6883539926179466,0.9400223425830231,0.8394306620165659,0.7250069096351699,50.65928387641907
qwen7b_instruct,7.0,instruct,qwen,18,120,1.653034945028018,0.7866638398579144,0.8663711051701035,0.8171309201195638,0.7563817473852626,53.06214451789856
llama8b_instruct,8.0,instruct,llama,16,120,1.6974305347200247,0.8295631689900135,0.8678673657300112,0.8266095876666354,0.7783112601380373,61.6062433719635
llama8b_base,8.0,base,llama,14,120,1.633774303399859,0.7764983665058924,0.8572759368939666,0.8221608861826759,0.7638538217893084,61.658019065856934
qwen14b_instruct,14.0,instruct,qwen,32,120,1.7689246677710202,0.9739238829270604,0.7950007848439598,0.8398090218507019,0.7883134939228262,72.66216158866882
qwen14b_base,14.0,base,qwen,28,120,1.6980745067879752,0.8330081914688944,0.8650663153190808,0.8176306064839923,0.77597192321041,72.51086354255676
