label,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Scale
IRI_Q1,0.122576129065687,0.1684836104567856,-0.0083056345544828,0.0055951005554647,0.2894240953183936,-0.206704477174179,0.0134936423537134,0.2390764399568174,0.1774744686257064,-0.0513375852235358,IRI
IRI_Q2,-0.0434498713877381,0.0419338862843895,0.0117718378086553,0.0506875121087715,0.0555573903153397,-0.0397864920085437,0.7035003178776941,0.0920696322550046,-0.0408099166384942,0.0420049875902922,IRI
IRI_Q3,-0.1190699643429825,-0.0468177696318229,0.0013451957642821,0.0503474573470016,-0.055708117270686,0.0725495637745684,0.1343295619271771,0.0664904861819777,-0.1013508542578287,0.4120033974309819,IRI
IRI_Q4,-0.0824448485098207,-0.1253466399354254,-0.0739640233517685,0.0604269834466018,-0.0293824479281898,0.0772510368057886,0.4643051467215749,0.1170733390072924,-0.0642055445909104,0.1511611648776004,IRI
IRI_Q5,-0.0067293903860209,-0.0054903429148061,-0.0143373381228674,-0.1197096182993538,-0.0656885927164442,-0.181894722718671,0.1749082054827189,0.6480795243344141,0.0319423252820848,0.0865328436820075,IRI
IRI_Q6,0.5199172617413145,-0.0038879789440964,0.0359723522091674,0.090856534841575,-0.0250469782792184,-0.1644885740637781,0.0159951617906475,0.1786425870516698,-0.0529168182569448,0.0359974485809779,IRI
IRI_Q7,0.0288922360976334,-0.0021512214773456,0.0240331938288266,-0.107809497476124,0.0094957098030814,-0.1958638045123308,0.0715115677602752,0.5886054968209586,-0.1399481810865414,0.1169304134010432,IRI
IRI_Q8,0.0238522568006596,0.0234924949327914,0.052183060247983,0.0161004303358638,0.0678084162885797,0.2953720487785632,0.0964195084944743,-0.0442493848714717,-0.0258356683418543,0.3684471551895458,IRI
IRI_Q9,-0.0524198684500834,0.0773453937802751,-0.0910075219056784,0.2645930069303494,0.0494339412293759,0.0568173242077967,0.4642982116575978,-0.047516885278823,-0.0153171348835427,0.0550476233751921,IRI
IRI_Q10,0.4219263284236244,0.0069145765084655,-0.0686143714640926,0.2141100223593047,0.0101072181777561,-0.1706526506732326,0.0350101739777248,0.0573270655303761,-0.0035007081435317,0.0556763385814944,IRI
IRI_Q11,0.0618860482649751,-0.0211770925712654,-0.0729544594357395,0.2154882148384339,0.0219019125007028,0.1172820624489994,0.0984850503003697,0.1223347065747358,0.0465953724424169,0.3422717034831438,IRI
IRI_Q12,-0.0867546674925734,-0.0658261055207908,-0.0074254951111629,-0.2083925861207363,0.1310903272077515,-0.0954276554818668,0.0911643563548238,0.5139424080835238,-0.105882622523362,0.310744599388809,IRI
IRI_Q13,0.0852219815580945,0.0135030740324434,-0.0291335917317931,0.0384044097856917,0.1373531209498301,-0.1069803947247995,0.2658211491619822,0.1226506818214285,0.1389636304904679,-0.064849629282326,IRI
IRI_Q14,-0.0323835077532318,0.0359360924203461,0.0357844897874277,0.0336887095854558,0.0562987970940806,0.0698358490560397,0.5245105574296668,0.0517317041149544,-0.0672604546520378,-0.1386047521107406,IRI
